Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,industry
9,6,32,59,19,Mining and logging
194,202,604,709,192,Construction
115,113,632,635,118,Manufacturing
325,363,1730,1458,382,"Trade, transportation, and utilities"
24,32,64,97,29,Information
40,67,228,208,58,Financial activities
413,392,1086,904,352,Professional and business services
160,167,1274,918,187,Education and health services
295,318,4783,1722,262,Leisure and hospitality
84,93,884,770,72,Other services
16,8,9,12,28,Federal
41,42,79,78,38,State and local education
33,44,85,137,59,"State and local, excluding education"
