1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Anniston-Oxford-Jacksonville,45571,45630,47701,46059,46185,46407,46199,46291,46674,46557,46799,46614,46768,46263,46401,45893,46008,46366,46185,46056,46382,46808,46444,46221,46940,45998,46217,45094,45699,45446,45223,45123,45763,45663,45393,45497,45804,45836,45706,45626,45783,46601,46222,46187,46835,46243,46384,46317,46778,46232,45985
Auburn-Opelika,76373,76676,74057,76569,77108,78405,77708,77717,78383,75160,76626,77105,76918,76441,76829,75449,76227,76194,75724,74918,75810,73175,73825,74319,75487,74342,74769,72685,73902,75968,75399,75333,75738,74011,73784,74275,75088,74841,74639,73511,74103,75156,74778,74323,75228,73661,73941,73048,73873,72257,72572
Birmingham-Hoover,553015,550310,541326,551410,549448,561326,562040,559522,561977,562357,560452,559649,561147,554881,556951,548039,550757,547198,543924,541863,546447,548960,544341,543101,548975,538033,543858,529794,536484,532569,530959,531442,533103,540050,533084,535044,539876,537697,537243,536638,539510,545381,541231,539476,545567,543200,540258,538867,544704,532598,534449
Daphne-Fairhope-Foley,96903,96391,91688,95316,95898,96176,95405,97331,97192,100496,99114,99050,100711,95982,97087,92160,93580,93448,92494,94469,94177,98009,96110,95399,98375,93054,94513,88942,90703,91565,90680,92653,92617,93777,92291,92308,94329,91464,91682,87883,89520,89321,88366,90267,90842,92696,91527,90973,93122,88789,89420
Decatur,69767,71956,68149,72452,72340,73261,72807,73294,73304,73473,73380,72895,73337,71836,72138,71218,71494,70493,69957,69875,70687,70535,70118,69518,70744,69080,69328,67911,68690,69297,68927,68880,69197,69058,68611,69099,69724,69761,69594,69273,69704,69984,69443,69924,70706,69204,69028,69286,69818,68936,68835
Dothan,62652,63599,60142,63805,63723,63660,63555,64019,64143,64675,64397,64068,64415,63597,63854,62576,63139,62534,62157,63111,62681,63375,62694,62469,63308,61948,62530,60599,61473,62148,61332,62604,62781,62557,62329,62474,62796,62800,62902,62534,62764,62853,62287,63194,64141,62356,62686,62492,62873,62289,62444
Florence-Muscle Shoals,65323,65518,65535,65042,65785,66907,66565,67265,67443,66365,66661,66546,66386,65790,66157,64752,65230,66365,65728,65929,66718,65568,64960,64974,66160,64707,65274,63407,64048,66330,65830,66174,66496,66079,65603,66152,66660,66770,66807,66465,66796,67249,66486,66934,67720,67150,66816,67192,67776,66553,66843
Gadsden,42098,42791,44060,42809,42854,44195,44134,44308,44369,44206,44233,44372,44453,44027,44186,43342,43506,43331,43327,43229,43653,43545,42914,43378,43898,43120,43305,42272,42727,44134,44114,43825,44115,44088,43797,44485,44671,44727,44653,44189,44673,44453,44272,43942,44577,43907,44037,44433,44586,43880,44125
Huntsville,225483,229035,222009,229665,230492,231688,230171,230651,232452,230180,230738,228154,229405,226625,227516,223645,225492,227961,226125,223539,228155,224494,224986,220327,224174,220191,222029,215251,219674,219896,218915,217075,219122,216336,216081,216683,216520,218847,218413,216069,217641,215890,214449,212673,216257,211187,210929,211699,213162,210361,210598
Mobile,189762,187625,186844,188015,188361,191665,190753,192181,192453,191045,191334,191442,192603,189731,191192,188055,189220,189727,189671,188009,190214,188967,187413,187778,189962,186454,188745,184627,186208,182477,182216,181389,181999,183004,181101,183252,184293,185753,184547,185048,185998,187072,186081,185036,188063,184455,183959,185419,185810,184019,184848
Montgomery,173901,170972,171420,171571,171458,175914,175597,176289,176808,176704,176720,176665,176678,174421,175719,171843,173549,174876,174090,174231,175753,175477,173831,173357,175533,172142,172597,170257,171932,170309,170194,169157,170562,172060,170426,171659,173004,172215,171468,171217,172223,172676,171790,170846,172995,171357,171456,170304,172236,168602,169181
Tuscaloosa,121502,119443,120317,119539,119554,120699,119784,120679,121320,118643,119712,118836,118392,118404,118761,116867,118302,115979,115180,115238,117134,112259,114217,115082,116095,114919,115185,112586,114631,114782,113487,114781,114882,113567,112894,112672,113294,113767,112700,112964,113783,116180,115071,115877,117163,113023,114305,113888,114559,113715,113328
