1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Anniston-Oxford-Jacksonville,5377,1620,8762,1744,1582,1353,1395,1353,1337,1639,1508,1597,1912,2020,1843,2462,2143,1866,1914,2095,2078,2430,2262,2071,2758,2079,1933,2111,2284,1836,1749,1715,1816,2495,2208,2168,2702,2763,2297,3443,3094,2877,3044,2874,3075,2939,2853,2989,3418,3226,2790
Auburn-Opelika,6643,2092,9216,2197,1868,1718,1710,1717,1675,2085,1936,1987,2471,2715,2248,2978,2682,2343,2393,2633,2613,3028,2888,2529,3537,2680,2329,2704,2812,2349,2186,2135,2261,3173,2853,2720,3493,3655,2817,4212,3879,3507,3717,3546,3832,3793,3618,3631,4400,3853,3402
Birmingham-Hoover,48294,14903,64530,16076,14165,12457,12579,12828,12365,15159,14445,14433,17516,18818,16810,21438,19657,17008,17281,18874,19143,21324,20485,18175,24585,18637,17143,19555,20398,17276,16247,16252,17221,23666,20923,20721,25472,26668,21987,33299,30499,28364,29424,29283,31038,28949,28643,28879,32762,30772,27417
Daphne-Fairhope-Foley,9295,2609,14387,2927,2517,2191,2272,2182,2132,2464,2434,2510,2935,3355,3012,3790,3468,2968,3093,3228,3308,3607,3527,3083,4177,3291,2918,3561,3690,3012,2968,2746,2933,3769,3483,3331,4102,4394,3551,5629,5180,4610,4930,4566,5003,4449,4467,4622,5089,4938,4328
Decatur,5440,1884,7744,2091,1825,1634,1659,1602,1614,1981,1843,1835,2295,2425,2169,2824,2550,2207,2252,2457,2460,2817,2691,2469,3287,2565,2333,2719,2856,2330,2235,2226,2324,3200,2831,2789,3458,3552,2985,4503,4140,3799,3941,3886,4129,3884,3777,3982,4469,4238,3740
Dothan,4985,1907,6217,2072,1802,1601,1629,1604,1551,1941,1862,1907,2289,2469,2214,2862,2599,2240,2300,2519,2561,2827,2732,2392,3187,2433,2249,2605,2706,2292,2188,2110,2211,2915,2650,2583,3163,3280,2686,4200,3780,3516,3700,3563,3798,3516,3546,3647,4046,3810,3386
Florence-Muscle Shoals,6735,2146,10007,2429,2159,1833,2000,1946,1825,2448,2153,2227,2736,2708,2486,3221,2983,2402,2605,2739,2711,3301,3074,2636,3628,2699,2509,2991,2995,2491,2461,2383,2487,3473,3063,2951,3778,3769,3194,4953,4336,4114,4349,4146,4251,4325,4137,4330,4937,4527,4145
Gadsden,5207,1709,8284,1784,1697,1184,1219,1218,1245,1466,1368,1373,1709,1797,1596,1957,1831,1560,1589,1698,1731,1955,1867,1673,2237,1735,1579,1812,1921,1592,1513,1493,1584,2145,1891,1888,2334,2458,2016,2999,2751,2498,2582,2555,2739,2492,2503,2535,2885,2715,2346
Huntsville,17050,5744,23623,6186,5344,4790,4849,4781,4784,5962,5353,5613,6948,7409,6585,8448,7595,6701,6747,7535,7662,8687,8194,7165,9777,7446,6763,7806,8189,6789,6359,6340,6698,9159,8082,7990,10015,10407,8364,12515,11494,10602,10990,10579,11378,10813,10485,10673,12281,11397,10063
Mobile,23816,7131,28173,7493,7141,5784,6096,6008,5748,7283,6665,6785,8085,8591,7992,9788,9410,7560,7925,8587,8477,10131,9282,8258,10901,8651,7976,9181,9554,7836,7627,7300,7578,10768,9366,9242,11469,11726,9820,14968,13309,12480,13138,12280,12934,12285,11970,11979,13948,12804,11441
Montgomery,18349,5213,23944,5574,5039,4325,4434,4433,4315,5197,4911,4958,5913,6422,5850,7311,6739,5911,6076,6600,6677,7508,7238,6282,8396,6513,5976,6747,7120,5953,5674,5556,5882,8445,7056,6754,8520,8702,7157,10931,9808,9215,9653,9389,10017,9394,9339,9262,10776,9835,8784
Tuscaloosa,13430,3285,20317,3498,3065,2792,2776,2802,2712,3680,3230,3377,4178,4144,3637,4636,4246,3721,3739,4081,4092,5232,4587,4540,5908,4191,3736,4416,4570,3900,3618,3550,3716,5891,4738,4647,6099,5982,4790,7431,6644,6252,6631,6366,6737,6790,6490,6424,7813,6676,5963
