1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bakersfield,368426,391631,375771,396113,396003,389862,385551,391823,393258,391400,393696,388008,390407,388233,385470,394132,395762,388007,385500,389456,390888,385259,386228,381120,387344,376484,377016,382946,384445,384286,380034,391914,389333,388044,391795,382162,384158,378345,383366,388490,384976,398622,391410,402181,403536,401696,404000,394813,398502,388940,392895
Chico,90387,99081,98272,97828,98349,103163,102671,103394,104409,102301,101283,102451,101263,104297,102742,103978,104184,106499,106766,105619,106657,103526,103253,103226,103243,103057,102960,102614,103426,103365,102808,104781,105167,102667,103424,102532,102422,102688,103586,103272,103182,104098,102809,103619,104977,101903,103118,101543,102616,101154,101803
El Centro,71659,73121,71484,72432,71543,74232,73767,72519,73767,69215,71629,69300,70088,70134,67381,72791,71804,75865,75393,74236,74938,72015,73944,71994,73456,71621,69961,72662,72477,75096,73366,78821,75145,77139,76109,74311,73677,74647,72580,75994,73574,80227,76954,81742,79547,81907,79156,79316,81426,77585,77286
Fresno,444961,457046,457591,452463,454296,451758,453103,455323,451413,456183,454787,453778,453224,460371,454332,459346,462218,454437,455329,455237,454084,457585,451672,454005,456078,449833,450414,448437,453655,442559,446333,451070,444624,449458,448585,448170,449133,447976,446716,446870,447329,445079,441174,453028,448333,456934,451787,451463,456266,445477,448721
Hanford-Corcoran,56204,59193,58251,58130,58440,57824,58319,57905,57891,58436,58162,58013,57588,58783,57840,58651,59276,57579,57924,57513,57087,58014,57532,57922,58027,57526,57327,57284,58077,56136,56021,57485,56570,57478,57502,56529,56718,56449,56046,56404,56616,57916,57351,58286,57890,59206,58617,58047,58238,58179,57739
Los Angeles-Long Beach-Anaheim,6256593,6584222,6289315,6811212,6846137,6833023,6827937,6785155,6795446,6737106,6713601,6680933,6677526,6751777,6661500,6772843,6775062,6848051,6827958,6796129,6819994,6792028,6742613,6728376,6748582,6766573,6740723,6734072,6777056,6765132,6736770,6812473,6770590,6746093,6737326,6675467,6686875,6704172,6687631,6634163,6677893,6744258,6691537,6788684,6785543,6741539,6734767,6592869,6653446,6617762,6615593
Madera,62233,63367,63051,63353,63078,61039,61821,62572,61712,60825,61535,61138,61514,62651,60479,63692,64890,60732,62306,62191,61250,60993,61293,61784,61639,61169,60548,62623,62793,60074,62067,63341,61722,60919,62814,61961,61445,61168,60525,62700,62644,60192,60898,62891,61377,61967,63181,61445,62576,61329,61118
Merced,113780,116614,116325,115164,115564,115929,115588,118318,118643,113439,116618,115674,115539,117655,115014,115678,117894,118950,118510,120710,120179,115735,117209,116537,117851,116645,115718,113979,116581,113309,113324,117408,115917,112635,114824,113430,115360,114970,112840,114575,114637,115574,115304,118927,118478,114260,116394,114790,116350,115334,114357
Modesto,233254,245619,239405,243344,243730,243112,241909,245457,244572,244759,245896,241588,239767,244072,239903,244045,244817,245337,244042,245059,244027,246040,245307,242530,243191,242496,239029,241404,243159,245257,244346,249873,245382,249398,251836,245233,247001,246059,243057,244952,243755,245805,244139,248399,247884,248013,249167,243624,246027,244921,243038
Napa,72143,73265,72717,72496,73398,73885,72794,76181,75353,75937,75313,74798,75273,74448,74041,73588,74724,72885,71532,75005,74874,74715,73950,73768,74181,72733,72566,71620,72877,73286,71761,77280,76374,75785,75985,74398,74950,72628,73768,71190,72502,75919,73792,78469,78919,76914,77405,75684,76757,74669,75646
