1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bakersfield,67299,47458,69783,33949,36041,24795,27883,23417,24100,32841,29201,27860,31259,38927,32241,35806,36814,25698,29466,25509,25730,31372,28155,29476,33821,36260,31334,35473,36936,27679,32645,31758,29155,37413,36786,32414,36656,43553,36487,43208,42107,36466,38870,36679,36811,42254,39221,38079,42924,45113,41803
Chico,12186,6776,14604,5448,5376,4095,4321,3798,4000,5495,4944,4357,5252,6480,5118,6903,6339,4594,5684,4291,4477,5210,4804,4407,5504,5396,4794,5852,5938,4779,5246,5454,4942,6609,6560,5150,6233,6689,5849,7304,7004,6123,6443,6241,6292,7448,6902,5890,7348,7237,6612
El Centro,19917,15216,20047,13017,12260,15312,14279,15091,15651,14309,15842,11466,13024,12361,10907,13423,12468,13745,13038,14332,14361,13749,15027,11267,13233,11067,10076,12020,11582,15310,13105,19881,15720,20821,18947,15451,15288,15507,13945,16072,13553,17731,14450,20588,17537,22057,18819,16957,19279,15424,15505
Fresno,69707,50165,76482,36649,38613,29450,31487,24206,26406,33035,30016,28905,31963,42789,34817,40939,41365,31297,34228,26657,28802,32485,29603,30944,34674,39062,33811,38813,41082,33243,36171,33786,34483,38767,38374,33733,37717,45815,39150,46934,45861,41473,41951,37360,41099,42546,39493,37960,42786,47103,43454
Hanford-Corcoran,9020,7345,9810,5464,5709,4084,4476,3281,3632,4541,4046,3921,4539,6070,4815,5745,5882,4040,4723,3455,3653,4316,3836,3996,4759,5296,4574,5375,5607,4207,4731,4268,4165,5070,4898,4362,5191,6323,5306,6644,6498,5387,5683,4826,5215,5690,5227,4999,5938,6597,5801
Los Angeles-Long Beach-Anaheim,1194508,386520,1180141,278797,282790,262363,247708,269412,274351,310118,288825,239869,280360,280001,244597,306515,266175,285879,285764,293590,289836,314534,309817,249462,300641,260685,248310,294382,283657,261014,259723,310702,277552,338761,344694,256280,290626,281061,262587,319672,302806,306975,296840,335398,328186,355922,340719,271903,331429,316286,295449
Madera,9459,6749,10450,5124,5132,3697,4200,3147,3331,4470,3975,3828,4309,5578,4577,5499,5353,3797,4401,3351,3613,4246,3790,4021,4541,5014,4417,5185,5229,4056,4686,4165,4060,5064,4876,4500,4956,6079,5154,6278,5977,5385,5752,4804,5186,5846,5270,5159,5870,6418,5906
Merced,18774,15349,21837,11271,12015,7584,9124,6467,6853,9485,8427,8369,9363,12813,10316,11873,12586,7946,9709,7091,7361,9262,8235,9022,10169,11854,10073,11368,12365,8689,10482,8736,8325,10812,10396,9658,10810,13904,11487,14235,14196,10842,12443,9701,10208,11879,10823,11067,12287,14344,12823
Modesto,37541,20689,40812,16072,16024,12642,13649,11303,11882,15955,14313,13425,15503,18198,15262,18133,17661,13957,15365,12835,13372,16430,14498,14703,17511,17235,15275,17890,18143,15098,16601,16243,15454,19663,18886,17142,19319,21634,19106,21947,21456,19338,20201,18529,19472,21960,19927,19306,22580,23251,21824
Napa,10380,2993,11545,2539,2357,1902,2079,1644,1745,2270,2034,1715,2076,2575,1997,2932,2532,1996,2361,1905,1965,2198,2048,1848,2323,2302,2055,2834,2534,2393,2587,2471,2571,2898,2896,2256,2699,2949,2514,3486,3050,3184,3262,2974,2996,3231,3147,2576,3194,3287,2949
