1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Cape Coral-Fort Myers,330990,350463,321446,354113,356454,356712,357053,354616,356622,350017,350245,349984,349324,351902,348504,348621,353277,342898,343149,338104,341552,338747,334892,338021,337424,342485,338188,338768,342864,328280,330332,324737,328002,327119,326387,330222,327328,336142,332784,332808,336144,329862,331286,324950,330453,322679,319954,326658,324281,329796,329152
Crestview-Fort Walton Beach-Destin,119071,129501,118333,126625,127249,128449,126316,130692,130101,132552,131592,129809,132620,127729,127240,124801,125895,129091,127791,130786,129377,135373,132061,131764,134665,129402,129635,125234,126553,123206,121416,127724,125118,130791,129091,126626,130010,124414,124903,119728,121037,118115,117008,121191,119932,125069,122624,121498,124066,118956,119613
Deltona-Daytona Beach-Ormond Beach,287349,303669,281767,302507,305455,305148,305333,307257,307053,306862,306955,304256,304644,301984,300127,302253,303616,299465,298671,302394,301341,305861,302934,303638,304789,301641,300676,298585,302069,295842,295621,299233,297551,297937,298284,297582,298018,297367,295527,293238,296673,293311,292237,293922,294816,290952,290555,288526,289712,287428,285444
Gainesville,132930,149155,130607,148336,149973,146259,145544,148552,147854,144444,142812,143719,142700,144445,144734,144429,145629,145524,144576,146956,146702,143714,141509,143220,142215,144536,145427,143409,145060,143597,142149,146447,145327,142284,141122,142600,141659,144463,145393,142539,143964,138485,137585,140359,139799,136600,134797,137807,135758,138555,139095
Homosassa Springs,46357,47894,44560,47294,47676,48088,47721,48578,48558,47658,48372,48604,48666,48061,47694,47609,48020,48149,48047,48363,48591,47690,48065,48400,49085,48488,48155,47410,47857,46951,46592,47928,46822,46913,47423,47877,48032,48151,47758,47409,48101,47586,47485,47803,47821,46651,47386,47224,47562,47858,47239
Jacksonville,734111,789928,708603,792837,797390,792145,792732,796588,797601,798345,793650,781166,791930,767988,765157,766419,769869,772275,775809,785544,779798,793744,783591,781809,787548,771871,768338,763415,768816,752173,749415,763615,753277,765911,762465,758533,764568,754576,751253,738470,751627,747633,749606,757948,749050,748736,745702,734860,741195,731146,727552
Lakeland-Winter Haven,315084,308409,285778,308117,309185,305725,304525,307277,305373,303075,304236,302090,302990,300538,298038,299680,300603,302033,301902,300884,302828,299988,298313,300049,300509,299025,297852,297091,299356,293234,292941,295785,291689,293012,292704,294455,293446,293632,291988,290206,292536,283724,285275,284031,283321,281325,280953,280353,280657,282134,280563
Miami-Fort Lauderdale-West Palm Beach,2884139,3086694,2805124,3184899,3195441,3222907,3216941,3239364,3269075,3225160,3217196,3195363,3200648,3183058,3184458,3215209,3217115,3142941,3174138,3137123,3138415,3172468,3116923,3173758,3174332,3151107,3157156,3136454,3165751,3144052,3143864,3163348,3142522,3173284,3140503,3151852,3147254,3110513,3143870,3103136,3106770,3081280,3093910,3046034,3067013,3048201,3026423,3015358,3010571,3018127,3009557
Naples-Immokalee-Marco Island,168696,185559,164585,184804,184666,183875,185360,178188,181234,177768,177603,181270,178022,182106,180562,182722,183492,174482,176447,168957,171687,168718,167634,172828,168622,176269,174140,173981,175043,170756,171663,167802,170295,168296,168487,169734,167623,172373,171711,170859,171111,166281,166835,162225,163815,160979,160747,162160,160725,165844,163837
North Port-Sarasota-Bradenton,343893,373780,333306,373739,376659,371897,372234,371089,370907,368300,365146,368384,369093,366680,365250,366370,366659,369124,368870,369295,369608,368514,363999,368387,367265,368652,366480,363621,367856,365109,364464,366275,365120,366985,365297,364347,364811,363729,360713,359357,362474,352942,354715,349525,354178,347629,346003,346517,346725,347260,343927
Ocala,132646,138960,129422,138389,138788,138524,137527,139905,139689,139649,139204,138473,139127,136687,136165,136427,136767,136066,136221,136323,136323,136968,135541,136257,136592,134983,134980,132971,134217,135079,134108,137456,135120,136225,135917,135782,135826,136449,135983,135322,135823,132622,132884,132489,132239,131858,131030,131133,131855,131050,130414
Orlando-Kissimmee-Sanford,1328127,1359650,1250221,1370482,1381224,1384636,1386798,1398711,1396329,1389736,1391894,1361048,1379077,1352954,1344025,1349719,1359297,1358815,1358231,1358241,1357709,1364524,1347926,1338139,1348948,1332471,1323482,1320034,1332889,1296801,1298492,1318355,1298242,1309015,1307053,1302393,1305155,1291189,1290326,1276910,1291583,1272620,1276618,1278706,1272072,1267336,1265534,1251451,1260129,1243457,1237971
Palm Bay-Melbourne-Titusville,272891,285109,268858,286381,287256,285159,283078,286474,286677,287045,286388,283444,284969,280197,277968,279775,282054,272873,273293,274399,274901,275600,272332,271920,272707,269570,268534,266960,267652,265926,263184,271890,268516,273493,271683,269153,272918,269230,268034,265542,267459,258860,259574,260852,259825,258900,256942,255313,258551,255816,253034
Panama City,84572,88821,81933,87374,87860,91629,90393,94488,93427,96336,95581,94417,95696,92890,92345,92713,92082,96500,93716,97609,95351,100354,98235,98116,99937,95949,96409,93450,94572,93396,92475,97275,95083,98313,97063,96377,98199,95795,95663,92776,94093,92278,91415,94543,93511,95805,94351,94089,95938,93504,93098
Pensacola-Ferry Pass-Brent,212130,231028,214464,229082,230428,228066,227562,230462,229494,230615,229664,228365,229303,225015,225512,225580,226468,227160,225623,228382,228186,228993,226659,226075,227086,224208,223744,222277,222517,219449,217169,225635,221078,223291,224008,221544,222593,221295,221162,217000,218850,216281,216626,218290,217571,216147,215361,212947,214386,213887,211306
Port St. Lucie,211283,223121,205810,221479,222923,221636,221239,222935,223534,221242,222025,221189,220948,219425,218729,218823,219302,215059,214734,212969,214097,213047,211686,213925,213420,213305,212222,210193,212537,208979,208136,211017,210662,209415,210210,209893,210068,211418,209981,209145,209837,204907,204719,204194,204226,201938,202176,202074,200863,203036,201724
Punta Gorda,68435,73987,64362,73176,73844,73148,73318,72009,72353,71861,71808,72190,72112,72704,71850,72000,72434,71341,71540,70519,71108,71160,70327,71268,71256,71663,71110,70670,71302,71923,71976,71501,70990,71038,71103,71063,71038,71776,71440,71011,71723,68889,69353,68385,68851,68118,67783,67831,68054,68639,67860
Sebastian-Vero Beach,61736,66369,61883,66238,66546,67757,67971,66643,67505,66491,66199,66283,66281,66479,65498,66466,66511,64600,64753,63344,63707,64142,63325,63902,64211,64331,63728,63776,64303,64010,63597,63833,63159,63201,63289,63620,63618,64550,63695,64121,64138,62195,62708,61265,61552,61288,60952,61180,61440,62064,61139
Sebring,35019,36776,33475,36540,36651,36259,36552,35781,35869,34865,35781,36174,35307,36946,36292,36981,36926,35603,36224,35743,35419,34817,35173,36261,35433,36061,36191,35561,35952,37108,37241,37598,37060,36064,36923,37943,36900,37966,38004,37622,37949,36059,37052,35481,35692,34176,34885,36163,34546,36673,36568
Tallahassee,175498,195625,173759,195670,196673,200216,198444,201435,201857,196550,196333,194779,195267,196048,194681,194814,196325,195569,194727,195588,195901,193071,190508,192624,193509,193908,193818,192411,194161,192278,190859,196191,193156,192535,191716,192272,192889,194475,193001,190343,192663,189732,189508,190390,190467,185972,184360,185322,185652,188107,186459
Tampa-St. Petersburg-Clearwater,1479937,1567314,1432214,1569320,1582550,1562386,1558569,1574339,1575611,1561844,1556456,1541262,1555210,1534288,1518558,1522485,1537979,1533574,1531562,1545316,1542313,1548581,1535970,1538634,1544681,1537810,1532322,1521888,1537182,1514628,1507046,1533073,1516130,1528358,1526007,1520611,1529023,1519243,1511783,1492902,1505188,1479902,1481545,1477027,1479949,1477770,1469844,1469598,1474415,1464512,1455377
The Villages,31354,33413,29930,33067,33355,32084,31890,32200,32051,31902,32221,31785,32012,31745,31505,31789,31813,30853,30907,30694,30768,30614,30663,30814,31037,30733,30522,30471,30722,29979,30019,30530,30041,29972,30246,30234,30197,30272,30065,30038,30288,29542,29572,29445,29570,28948,29121,28866,29047,29093,28733
