1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Cape Coral-Fort Myers,46472,15152,46890,11002,10610,9433,9039,10297,9983,11810,12096,10353,12112,11029,9837,13073,11592,10050,10845,9929,9990,12902,12277,10672,12786,11708,10663,13040,11937,11882,11127,11662,10981,13899,13281,12636,13684,13558,12361,16690,14889,15201,14409,15410,15471,15740,14942,13090,14880,14038,13391
Crestview-Fort Walton Beach-Destin,13009,4822,16064,3651,3457,2999,2936,3126,3017,3718,3734,3271,3818,3582,3158,4367,3806,3283,3586,3104,3138,4088,3829,3492,4162,3928,3539,4491,4074,3857,3681,3591,3452,4453,4251,4061,4413,4456,4059,5721,4986,5058,4915,5021,5072,5212,4830,4359,4976,4855,4588
Deltona-Daytona Beach-Ormond Beach,41620,14975,41530,10765,10374,9316,9042,9874,9716,11428,11458,10204,11669,10703,9540,12791,11402,9808,10610,9551,9735,12453,11681,10717,12307,11822,10591,13066,12033,11964,11326,11172,10877,13647,13135,12712,13474,13615,12579,16840,14996,15444,14794,15178,15327,15528,14658,13252,14815,14195,13544
Gainesville,11549,5781,11655,4406,4055,3725,3620,4142,4076,5000,4750,4064,4918,4415,3871,5446,4635,4012,4401,3939,4049,5199,4817,4304,5253,4873,4442,5556,4966,4992,4558,4548,4419,5608,5307,4916,5666,5414,4959,6768,5877,6105,5805,6262,6221,6420,5975,5232,6400,5563,5380
Homosassa Springs,6643,3188,7024,2331,2278,1968,1924,2104,2006,2471,2523,2224,2509,2339,2073,2823,2523,2151,2372,2101,2105,2726,2608,2327,2730,2537,2267,2867,2634,2504,2502,2347,2279,2929,2803,2704,2879,2876,2638,3614,3227,3250,3164,3240,3239,3406,3208,2894,3239,3136,2977
Jacksonville,81954,34051,79430,24520,23646,20948,20282,22953,22426,27624,26999,23190,27390,24489,21621,29278,25852,22204,24070,22060,22259,30351,27594,24551,29336,26867,24334,29549,27174,27153,25492,26016,24846,33009,31461,28980,32409,31078,28684,38173,34035,35078,33165,35156,34980,37080,35255,30317,35036,32336,30994
Lakeland-Winter Haven,60041,15217,38252,11269,10699,9660,9264,10826,10401,12514,12564,10614,12356,11105,9876,13308,11707,10154,10968,10410,10284,13680,12828,11129,13230,12306,11109,13689,12561,12692,11930,12050,11585,14735,14190,12989,14460,14120,12910,17574,15581,16257,15409,16770,16444,17023,16357,13659,16025,14716,14026
Miami-Fort Lauderdale-West Palm Beach,391112,126215,371436,76545,73383,87421,71780,98630,94577,108480,112013,98058,106879,103972,92809,123575,105999,96072,106298,101948,100701,128584,120774,112531,124376,130976,115783,133681,128579,128173,123806,126736,123139,142537,140398,132969,141098,145506,136764,158488,149043,149793,150569,157619,154964,157197,155087,140510,150543,149482,143259
Naples-Immokalee-Marco Island,22026,7408,22072,5531,5274,4923,4638,5701,5318,6249,6711,5013,5981,5366,4766,6552,5707,5226,5596,5567,5351,7012,7063,5354,6510,5965,5356,6742,6109,6624,6109,6757,6398,7801,7899,6332,7211,6861,6253,8589,7622,8149,7576,8826,8578,8770,8517,6559,7799,7131,6785
North Port-Sarasota-Bradenton,45481,15879,47258,11606,11150,9973,9622,10763,10403,12391,12731,10871,12639,11599,10326,13821,12191,10715,11523,10577,10550,13622,13042,11428,13565,12456,11334,13911,12817,12627,11843,12088,11730,14643,14263,13396,14321,14399,13250,17997,16018,16211,15399,16505,16663,16653,15737,13889,15630,15071,14504
Ocala,15474,7278,15654,5349,5145,4563,4415,4899,4741,5694,5833,5077,5861,5384,4797,6504,5750,4979,5378,4903,4900,6505,6104,5488,6430,6010,5469,6641,6138,6023,5738,5611,5436,6919,6668,6402,6841,6998,6378,8621,7733,7915,7547,7926,7989,8168,7716,6851,7664,7298,6968
Orlando-Kissimmee-Sanford,300708,57264,202692,41327,39413,35150,33987,38678,37753,44764,44795,38592,44728,40750,36280,49031,43166,36955,40321,36918,36841,48886,45725,40580,47724,44650,40509,49181,45490,44962,42223,42452,40918,52149,49970,47146,51541,50781,46672,62409,55633,56515,54099,57461,57220,59024,56071,49621,56837,53622,51214
