1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Albany,63146,67581,62218,67609,67795,66734,66867,66631,66773,66164,66150,66604,66001,67261,66327,68080,67654,69052,68883,67917,68577,69125,67881,68708,69243,68934,68423,69227,69522,67804,67982,67364,67607,67113,66760,67378,67302,67293,67141,68053,67448,68381.0,68521.0,67132.0,67806.0,66685.0,66197.0,66194.0,66836.0,66579.0,66058.0
Athens-Clarke County,95758,98493,92677,99277,100244,102462,101966,101601,102751,100845,100736,100412,100781,101202,100065,101375,101221,105660,103672,104094,105698,104354,103008,103535,104235,103901,103882,102221,104216,102327,101583,102109,101854,100494,99645,99077,100126,98618,98668,97436,98468,100300.0,99148.0,99572.0,98659.0,97103.0,96994.0,95819.0,97335.0,96308.0,95675.0
Atlanta-Sandy Springs-Roswell,2944498,3126471,2930602,3122668,3138407,3096775,3117021,3085429,3098694,3097375,3071189,3074012,3093442,3075899,3042371,3067728,3078731,3076144,3097603,3083485,3090344,3127974,3085957,3092735,3115152,3107314,3086763,3057853,3106150,3049275,3053437,3056766,3046032,3052606,3039724,3020478,3037341,3012537,3007831,2982947,3001947,2962193.0,2983076.0,2943724.0,2955368.0,2947721.0,2923064.0,2886883.0,2921019.0,2883331.0,2877964.0
Augusta-Richmond County,261253,270773,256877,268953,270446,267668,268502,266503,268614,269743,268379,269290,270592,270442,273282,270551,271142,268491,270475,267910,269224,273482,269090,270897,272737,275113,274773,273673,274928,269743,272422,269779,269139,270895,269924,264178,266666,265387,269414,266341,265516,260372.0,261989.0,259611.0,260078.0,262569.0,260335.0,256847.0,260507.0,258159.0,260155.0
Brunswick,46341,52320,45940,52220,52626,53462,53362,53985,53573,54680,54658,54219,54541,53522,53540,53660,53346,53003,52871,53250,52896,54855,53649,54175,54860,53562,53716,52943,53372,52649,52948,53652,52951,53829,53356,53144,53549,52192,52607,51827,51860,51394.0,51614.0,51606.0,51402.0,52626.0,51701.0,51426.0,52431.0,51345.0,51207.0
Columbus,116282,123068,114859,122799,123546,123159,123187,122748,123497,123716,123161,124162,124457,124397,123367,125723,125219,126244,126847,125715,126444,127711,125887,126292,127302,126702,125630,125911,126926,125093,125214,124514,124337,125299,124440,123862,124162,124172,123829,124766,124806,126561.0,127402.0,126434.0,126009.0,126454.0,125090.0,124503.0,125592.0,124778.0,123971.0
Dalton,58440,58612,60269,59448,59203,60569,61440,61024,61234,61616,60900,61234,61424,61687,61096,62300,61877,61188,61843,61602,61439,62867,61523,61749,62585,62510,61703,62302,62306,63036,63134,63908,62890,63496,63174,62825,63189,62955,62528,63144,63088,61069.0,61265.0,61514.0,61100.0,61821.0,61138.0,60743.0,61455.0,61761.0,60627.0
Gainesville,96628,102986,96929,103144,103789,105027,105243,104394,104958,104297,104015,103690,104296,103438,102962,103434,103574,104310,104350,103668,104359,104822,103888,103909,104860,103723,103352,102064,103610,100115,100529,99992,99966,99844,99662,99337,99483,98316,98284,97918,97969,96871.0,97363.0,96184.0,96876.0,96395.0,96070.0,94745.0,96273.0,94610.0,94085.0
Hinesville,32979,34902,32209,34698,35084,33756,33732,33756,33794,33899,33869,33829,33702,33964,33677,33865,33966,33622,33736,33643,33847,34175,33910,34114,34448,34366,33850,33887,34433,33339,33297,33549,33337,33158,33458,33063,32958,33167,32935,33218,33251,32628.0,32878.0,32458.0,32357.0,32248.0,32328.0,32024.0,32179.0,32282.0,31951.0
Macon-Bibb County,97463,103436,97179,103530,104310,103969,104238,103506,103590,104229,103668,103864,104095,104345,103055,105087,104533,105593,105738,105042,105430,106947,105597,106306,107336,106992,105975,106533,107022,105192,105441,105561,105105,105512,104936,104872,105204,104585,104055,104781,104541,,,,,,,,,,
