1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Albany,5456,3625,7030,2881,2893,2261,2389,2565,2447,2921,2949,2807,3105,2925,2470,3742,3151,2976,3195,2711,2987,3448,3175,2900,3571,3261,2947,3582,3568,3507,3439,3428,3490,4037,3875,3842,4103,3810,3774,4394,4101,3987.0,4180.0,4165.0,4067.0,4205.0,4095.0,3714.0,4401.0,4313.0,3976.0
Athens-Clarke County,7859,4218,10441,3193,3271,2489,2564,2881,2888,3534,3507,3226,3801,3575,2926,4196,3813,3170,3535,3117,3570,3904,3581,3317,4292,3904,3498,4122,4317,4212,4072,4140,4204,5067,4664,4427,5243,4468,4408,5061,4752,5137.0,4786.0,5539.0,4735.0,5048.0,4861.0,4180.0,5464.0,4672.0,4368.0
Atlanta-Sandy Springs-Roswell,301917,138851,370964,101327,104650,79681,83585,89765,89224,108079,108640,102458,114398,109338,92002,129801,115902,97059,110713,95232,105548,118814,110934,106007,124786,122883,109754,131622,133057,126902,126163,122436,126236,146654,139785,137293,147644,138688,135429,158323,146848,142047.0,148445.0,147577.0,143726.0,150308.0,145381.0,131203.0,154628.0,149397.0,137863.0
Augusta-Richmond County,22929,11294,27107,10044,9915,7554,7900,7992,8141,10923,10432,10221,11329,10540,9119,12870,10825,9501,10497,9655,10212,11938,11394,9728,11853,12090,9901,14013,13027,12195,12530,11666,12382,14050,13561,12395,13699,12849,12124,15736,13943,13244.0,13677.0,14845.0,14691.0,15890.0,15161.0,13610.0,15668.0,15090.0,14221.0
Brunswick,5127,2240,7193,1820,1817,1417,1520,1848,1638,1905,1973,1827,2005,1945,1628,2435,2087,1737,1996,1669,1910,2057,1974,1843,2214,2194,1881,2392,2400,2310,2316,3129,2453,2654,2579,2489,2654,2577,2407,3029,2772,2683.0,2778.0,2811.0,2944.0,2972.0,2721.0,2529.0,2926.0,2956.0,2650.0
Columbus,11084,5796,14063,4917,4831,3933,4114,4442,4318,5391,5256,5025,5654,5405,4669,6974,5725,4947,5593,4971,5428,6163,5763,5531,6554,6151,5540,7211,6774,6340,6372,6046,6331,7432,7056,6799,7441,7143,6708,8718,8104,7628.0,7972.0,7863.0,7755.0,8082.0,7715.0,7096.0,8291.0,8263.0,7427.0
Dalton,6516,3020,12346,3344,2586,2194,2902,2270,2693,2801,2631,2362,2739,2817,2458,3998,3317,2562,3075,2459,2726,3148,2582,2523,2979,3294,2674,4173,3429,3352,3492,3149,3078,3439,3302,3242,3451,3620,3279,4502,3867,3609.0,3724.0,3661.0,3646.0,3893.0,3630.0,3214.0,3884.0,4217.0,3337.0
Gainesville,7717,3558,10266,2870,2856,2195,2310,2479,2497,3079,3017,2873,3253,3105,2614,3664,3318,2731,3058,2675,3052,3337,3070,2871,3614,3367,2953,3698,3737,3619,3535,3501,3574,4183,4003,3849,4238,3893,3798,4648,4020,3943.0,4093.0,4191.0,4308.0,4371.0,4265.0,3632.0,4479.0,4242.0,3956.0
Hinesville,2462,1637,3083,1301,1325,1040,1086,1211,1159,1440,1443,1368,1495,1315,1113,1554,1383,1215,1363,1155,1318,1464,1375,1318,1530,1582,1383,1680,1703,1601,1613,1554,1574,1768,1714,1676,1749,1761,1670,2089,1877,1821.0,1980.0,1858.0,1844.0,1856.0,1832.0,1616.0,1917.0,1894.0,1696.0
Macon-Bibb County,8659,4805,10414,3803,3993,3050,3160,3461,3437,4219,4276,3959,4421,4197,3525,5116,4459,4080,4343,3675,4350,4591,4304,4109,4827,4801,4259,5439,5142,5118,5076,5013,5301,5775,5622,5410,5771,5465,5368,6446,5776,,,,,,,,,,
Rome,4077,1978,5972,1723,1676,1388,1682,1464,1468,2040,1710,1604,1810,1740,1428,2442,1945,1629,1977,1594,1785,2113,1869,1634,2062,1914,1703,2109,2169,2049,2023,2039,2057,2798,2337,2267,2453,2324,2231,2860,2522,2385.0,2484.0,2691.0,2449.0,2884.0,2543.0,2271.0,2721.0,2610.0,2405.0
Savannah,20032,8427,27190,6131,6316,4843,5111,5509,5486,6491,6717,6088,6845,6578,5450,7794,6983,5814,6575,5715,6425,6999,6642,6187,7494,7184,6363,7804,7814,7489,7407,7282,7574,8682,8291,8081,8844,8255,7980,9467,8732,8721.0,9066.0,9210.0,9015.0,9274.0,9051.0,8068.0,9875.0,9174.0,8427.0
Valdosta,4776,2902,5928,2375,2389,1872,1917,1977,2052,2417,2461,2162,2557,2424,1999,2910,2619,2229,2474,2195,2501,2768,2563,2415,2926,2707,2422,2975,2980,2782,2743,2734,2783,3213,3080,2879,3264,2916,2810,3511,3151,3249.0,3361.0,3365.0,3256.0,3452.0,3273.0,3009.0,3653.0,3342.0,3079.0
Warner Robins,5732,3644,8149,2930,3023,2313,2413,2591,2742,3179,3199,3015,3382,3201,2735,3969,3467,3746,3354,2881,3792,3502,3314,3117,3745,3613,3206,4296,3920,3790,3819,3716,4383,4360,4188,4139,4389,4169,4070,5021,4424,4398.0,4614.0,4561.0,5543.0,4596.0,4419.0,4001.0,4772.0,4716.0,4243.0
