1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bloomington,87574,88720,85284,93848,93864,95227,93279,95662,96563,94445,93708,95350,93955,95192,95686,93572,95421,98436,95979,98258,98956,96642,95559,98234,96778,97744,98283,94144,96772,96583,95699,96111,96614,96267,95179,97622,96971,97888,97523,96363,97959,98257,96710,97826,98474,97043,96890,97642,95839,98302,97878
Carbondale-Marion,57979,56638,56705,58881,59690,62439,60425,61962,62660,60802,59887,59896,58939,61327,61462,59127,61037,60809,59479,60423,60891,59592,58447,59157,57969,59955,60223,57702,59403,60576,60005,59866,60070,60805,59888,59858,58905,59989,59777,58793,59824,60263,59154,60568,60681,59307,59319,59130,57923,60421,60792
Champaign-Urbana,115004,118825,113780,119640,125544,124193,122196,123589,125193,119828,116332,121933,118786,121963,122745,118473,121206,124014,121330,123906,125403,120185,116460,123347,119754,123531,124097,118454,120921,118805,117674,117818,119036,116061,112708,118883,115832,121782,121396,119719,120760,123457,120675,122519,123648,118412,116565,120747,117026,122525,122080
Chicago-Naperville-Elgin,4792192,4820085,4692945,4766606,4803533,4852717,4813035,4870597,4865666,4978955,4936520,4860592,4978414,4887720,4886059,4863867,4873133,4902696,4857913,4844568,4902724,4957787,4883652,4854081,4951919,4893315,4841889,4847513,4911226,4884272,4868875,4856218,4860658,4943768,4892644,4851645,4960092,4858832,4816007,4879041,4872604,4914922,4896843,4934935,4930120,5057945,4980982,4970947,5053549,4986473,4984649
Danville,32169,30564,30851,32407,32306,33057,32696,33218,33444,33536,32850,33204,33282,33292,33396,32757,33036,34396,33985,34419,34628,34597,33841,34365,34317,34332,34279,33509,33827,33555,33443,33402,33509,34242,33663,34037,34258,34725,34575,35138,34794,35542,35278,35535,35524,35797,35491,35504,35271,35941,35635
Davenport-Moline-Rock Island(1),189196,185450,185997,193076,191073,194314,191800,196306,197001,198335,197301,194742,198015,194034,194499,191802,191614,193655,192814,193317,195423,194957,192867,192017,194418,192285,191657,189710,189810,188243,187213,187119,187170,189910,188735,187200,189625,189723,188324,191886,189163,187982,186399,189744,190078,191878,189794,188042,189196,191019,189351
Decatur,44703,44958,41659,47733,47095,50178,49611,50586,50733,50920,50203,49926,50631,49647,49802,49317,49565,50342,49557,50325,50790,50785,49701,49879,50840,49745,49642,48478,49024,48760,48406,48605,48559,49889,49361,49025,49702,49677,49745,50108,49680,50065,49624,50272,49884,50740,50488,49925,50064,49984,49861
Kankakee,53899,52708,51527,55939,55248,56444,56314,56160,56943,56349,55417,55720,55842,55935,55797,55287,55405,59914,59290,59365,59866,59078,58447,58225,58486,57741,57759,55967,56624,55456,55616,54171,54611,54716,53913,54250,55052,54941,54165,55517,55218,56310,56079,55662,55935,55442,55563,54801,54738,55671,55035
Peoria,158108,158877,152415,172172,169668,177685,175904,180345,180190,183378,180525,181034,183099,180353,180848,178234,179768,179041,176606,179197,179556,180204,177740,180168,180476,178609,178557,173065,173934,178582,178119,178098,178205,182612,180463,180214,181929,181257,181824,181234,180793,183115,182283,184263,183832,187956,186861,184767,184755,186896,185189
Rockford,160122,150864,156131,162583,160084,167835,166069,168890,169277,173181,168626,168274,170201,167880,168160,167408,167625,172224,167791,167557,168964,168435,166580,166619,168185,165821,165740,163169,164282,163505,164368,162016,162388,166594,164029,164390,166103,167490,165365,170872,168383,169919,170425,171144,170139,172988,172830,170063,171216,170232,169314
Springfield,100086,100284,97090,105888,105376,111839,110323,112581,112603,113809,114733,111807,112863,110649,111478,109619,110365,110449,108970,110644,110423,111725,112325,110722,111778,109596,110242,107341,108226,111031,111000,110879,110004,112996,113901,111304,112235,113059,112709,113567,112718,113204,112327,112987,112836,113600,115808,111377,111602,111905,111479
