1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bloomington,9537,2332,10947,3186,2633,2982,3171,3440,3356,3860,3356,3152,3518,4643,3873,5113,4598,3920,4347,3520,4009,4027,3920,3278,4214,3734,3049,3861,3513,3723,3623,3447,3698,4311,4029,3697,4287,4236,3649,5865,4736,4470,4854,4998,4708,5055,4988,5108,5147,5896,5297
Carbondale-Marion,8715,1691,9701,2284,1873,2099,2255,2309,2339,2578,2301,2144,2341,3144,2574,3474,3058,2800,3069,2555,2809,2898,2887,2472,2982,2753,2271,2736,2540,2724,2642,2596,2651,3096,2982,2664,3088,2993,2619,4184,3322,3112,3441,3560,3258,3576,3501,3609,3518,4244,3841
Champaign-Urbana,11503,2890,12402,4115,3345,3903,4075,4304,4433,5016,4263,4198,4527,5850,5074,6481,5829,5146,5345,4661,5356,5343,5196,4478,5568,4702,4010,4949,4505,4996,4622,4426,4907,5567,5167,4758,5563,5452,4623,7340,5987,5604,5967,6023,5913,6003,5898,6218,6219,7136,6420
Chicago-Naperville-Elgin,724120,219193,819311,183041,171543,158705,152669,163300,168946,204149,180867,170175,199447,201086,183234,232125,210994,185699,193509,177481,196679,204010,193803,164413,215626,211917,173832,260617,254210,228176,229523,225886,230537,234607,257208,197867,242770,216539,202911,293571,259572,259012,265144,257231,272338,277763,269295,269270,303665,331292,307811
Danville,4757,1099,5292,1586,1314,1517,1732,1650,1629,1826,1710,1481,1562,2101,1776,2285,2084,1904,2165,1746,1901,2040,2003,1771,2058,1996,1647,2036,1904,2024,1991,1970,2024,2416,2323,2043,2325,2220,2007,3008,2497,2281,2557,2547,2353,2539,2534,2571,2516,3012,2688
Davenport-Moline-Rock Island(1),26649,7365,28259,9154,7726,7587,8561,7698,7569,7732,7565,6824,7488,9489,7648,10555,9234,7122,8767,7189,7566,7278,7468,6668,7775,8094,6682,8949,8399,7392,7847,8042,7590,8438,8412,7798,8620,9121,7746,12240,10045,9139,10225,11146,10328,10695,10708,10271,10684,12440,10977
Decatur,6628,1875,6728,2427,2043,2260,2527,2486,2454,2772,2493,2239,2518,3116,2722,3411,3082,2755,3069,2383,2690,2819,2745,2273,2894,2574,2161,2586,2400,2578,2571,2475,2506,2952,2914,2439,2927,2798,2458,3879,3147,2934,3177,3354,3072,3418,3362,3380,3427,3924,3543
Kankakee,7188,2105,8207,3021,2509,2622,3032,2383,2460,2597,2374,2317,2389,3652,2934,4163,3708,2891,3487,2490,2781,2746,2775,2468,2845,2990,2401,3040,2875,2790,2946,2527,2617,2962,2874,2693,2990,3215,2718,4573,3661,3129,3663,3457,3233,3361,3383,3529,3352,4298,3733
Peoria,24077,6014,27175,8581,7093,7065,8115,7721,7573,8280,7704,7140,7578,10695,8746,12087,10750,8677,10122,7826,8686,8775,8778,7638,9058,8987,7305,9318,8668,8579,8775,8313,8438,10085,9570,9061,10012,10791,9341,15159,12023,10531,11993,11768,10921,11879,11511,12057,11661,14326,12836
Rockford,30858,6614,35039,13061,7707,8527,9618,8868,8527,11408,9246,8796,8953,11088,9051,11870,10806,15944,10510,7664,8773,8454,8770,7279,8735,8420,6887,8575,8015,8351,8363,8132,8184,9646,9269,10073,9707,13811,11347,19015,15186,9831,11091,11224,10293,10784,10893,11169,10838,13177,11698
Springfield,13007,2921,13819,4085,3421,3596,4007,3965,3929,4413,4062,3730,4081,5601,4639,6212,5634,4612,5403,4121,4568,4490,4704,3734,4736,4449,3576,4686,4295,4428,4382,4268,4363,4932,4808,4207,4861,5006,4387,6918,5603,4889,5448,5435,5062,5314,5318,5379,5248,6664,5713
