1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bloomington,79644,78040,74293,80951,82112,80210,79298,79377,80056,75428,76422,74057,74949,80754,80786,79749,81490,77335,76077,76719,77925,72342,75167,72674,72861,76924,77812,74564,77293,78258,76690,79055,78458,73718,75136,73029,73570,78064,78222,77048,78174,78234,76518,78988,78620,75651,75749,75695,76057,78642,79589
Columbus,45375,43594,41928,45195,45281,45672,45418,45587,45608,46147,46310,45594,46619,46392,46099,46004,46289,46176,45924,46026,46271,46764,46643,45903,46318,45394,45701,44418,44837,45069,44821,45331,45048,46178,46123,45260,45522,44826,45064,44708,44504,45451,45288,45121,45326,45939,45993,45329,45925,45064,45156
Elkhart-Goshen,107289,108468,114147,111926,112840,115658,115658,115817,116133,118267,116776,116530,118602,117483,117259,117591,117493,117653,117369,117577,118476,120648,119173,118229,120650,116311,116777,112683,114781,110430,110698,111869,111000,114149,113718,111147,113229,108859,109507,107752,108197,103780,102881,104880,104314,106487,106245,105941,106494,103762,104740
Evansville,168646,158638,159961,163172,164482,164740,163729,164771,164071,167952,164920,164484,167063,166651,165273,166101,166888,164620,162866,164512,164942,168517,165085,165004,167652,163421,164363,159132,161421,159773,158223,161784,160243,164557,162231,160553,163080,160450,160796,159255,159032,158282,155920,159042,158389,163008,160328,159442,161300,158587,160131
Fort Wayne,221007,211057,215510,218368,219880,218656,216608,219225,221577,222194,222433,218631,222028,219421,219573,218719,220120,218769,217559,218084,220369,221363,220396,218540,220378,214354,216022,209450,213377,208235,206782,212660,209757,216970,214766,212547,216878,210812,211226,212196,210788,215719,213333,218159,216739,222641,220569,218490,220953,215463,217923
Indianapolis-Carmel-Anderson,1047847,1038555,993947,1073128,1074701,1058871,1050171,1062004,1062325,1078250,1073948,1057254,1075228,1072502,1067284,1060348,1067186,1068822,1062644,1067464,1071897,1089987,1079564,1071310,1084029,1054623,1058728,1030588,1044179,1034935,1031094,1051668,1040025,1067986,1059213,1042351,1061355,1031922,1036513,1035501,1033450,1039262,1031669,1042754,1032417,1066926,1058171,1039005,1056462,1023423,1034028
Kokomo,42845,35710,41165,37113,37220,37639,37785,37654,37656,38293,38071,37593,37752,38232,39502,38029,38289,42370,40561,39734,39867,40418,40226,39563,40274,39121,39347,38211,38828,38389,38198,38755,38469,39565,39413,38525,39592,38380,38268,38502,38512,37780,37594,37819,38105,38621,38746,38131,38578,38182,37814
Lafayette-West Lafayette,106034,114766,105927,116292,116595,110695,110779,108514,110171,107201,106578,107599,106069,111997,112658,113141,113113,114763,113202,114463,116079,112483,112432,113160,110987,111308,112444,108188,111461,112022,108848,112458,112234,108916,109587,110656,107278,111110,112050,110057,111412,112688,108861,112871,112918,109447,109490,111386,110189,110869,112463
Michigan City-La Porte,48444,46104,46875,47539,47784,47202,47024,47186,47263,47802,47227,47401,47958,48047,47611,47648,47945,47452,47240,47296,47412,48603,47664,48405,48413,47515,47776,45830,46632,45569,45410,46464,45883,47662,46900,47397,48125,47140,46804,47467,47282,48482,48182,48895,48549,49737,49060,49164,50101,48496,48806
Muncie,54490,52957,52984,54379,54975,54691,54238,53995,54698,53154,52892,52114,52187,55062,54855,54670,55349,55587,55014,55784,56317,55888,55371,55385,56080,55686,56192,54188,55361,54364,53853,55114,54743,54294,54258,53801,54415,54733,54789,54678,54982,55260,54821,55830,55313,55796,55155,55046,55854,55776,56016
South Bend-Mishawaka,156583,156258,157536,160354,162162,161506,160964,160928,161573,162998,161362,162683,164180,163718,163616,162696,163618,161287,160759,161156,162309,159835,156872,163057,161103,161887,162218,158241,161020,156355,155894,158261,157148,156349,154393,157734,159943,157791,157591,157152,158993,158576,156636,159324,158218,160896,158479,159604,161113,157972,158752
Terre Haute,72791,73082,71317,75468,75899,76683,76446,76389,76848,76827,76094,76866,77509,78003,77569,77488,78261,78001,77984,77418,78482,78589,77978,77652,78052,77063,77084,75160,76444,76983,77047,77898,76872,78312,78155,77198,77307,77184,76791,77175,77487,78229,77508,78460,78260,79628,79004,79042,79240,78706,78586
