1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bloomington,6320,2475,7690,2891,2710,2567,2217,2147,2493,2964,2815,2438,2876,3147,2340,3502,3547,3037,2724,2452,3197,3157,3350,2807,3254,2709,2401,2846,3094,2854,2315,2784,2716,2939,3486,2263,2644,3287,2115,3660,3715,3136,2995,3392,3146,3935,3932,3557,4162,4407,4100
Columbus,5774,1032,7700,1254,1130,1051,968,911,988,1195,1071,1013,1164,1339,979,1437,1487,1236,1151,989,1193,1229,1308,1163,1309,1120,997,1237,1290,1145,1019,1207,1157,1227,1436,988,1099,1344,896,1582,1597,1329,1306,1414,1301,1510,1638,1489,1627,1899,1603
Elkhart-Goshen,12751,2883,33439,3388,3083,3296,3081,3103,3210,4233,3472,3062,3553,3740,3023,4390,3992,3516,3311,2759,3396,3178,3502,2814,3254,2554,2326,2714,2841,2780,2360,2756,2675,2875,3355,2334,2648,3088,2115,3641,3559,3420,3213,3752,3380,3970,4230,3739,4207,4444,4108
Evansville,17795,4895,23515,5506,5108,4920,4648,4432,4718,5683,5037,4648,5393,5782,4561,5997,6096,5370,5006,4765,5545,5590,5804,5047,5856,4916,4557,5065,5464,4964,4384,5351,5094,5641,6257,4666,5278,6055,4453,7155,7020,6083,6099,6581,6081,6903,7103,6768,7318,7922,7015
Fort Wayne,29930,6378,42247,7364,7349,6880,6137,5729,7216,7579,6561,5895,6801,7529,5779,7972,8102,6996,6474,5810,7131,7130,7543,6496,7342,6275,5705,6792,7104,6408,5699,7203,6561,6817,8029,5501,6114,7739,5211,9328,9195,7791,7860,8362,7606,8968,9398,8848,9556,11116,9852
Indianapolis-Carmel-Anderson,106631,29555,132081,34269,31575,30534,28083,27857,29105,35385,32065,29087,33225,37286,29466,39083,39613,35809,32660,30593,35947,36260,37900,32575,37253,31995,29495,33192,35169,32216,29040,35661,33617,34600,40188,27914,30713,37285,26325,43164,43711,37568,36957,40533,37251,41981,44769,41887,44686,51321,46091
Kokomo,9356,1387,14035,1554,1429,1264,1302,1191,1207,1469,1313,1204,1357,1663,2686,1739,1741,3505,1472,1193,1456,1402,1470,1274,1629,1273,1207,1348,1412,1293,1150,1398,1330,1383,1621,1112,1925,1560,1067,1866,1874,1554,1624,1603,1670,1748,1865,1776,1847,2576,1935
Lafayette-West Lafayette,12551,3197,13037,3654,3404,3195,2843,2717,3079,3618,3369,2962,3448,3797,2881,4184,4135,3692,3315,2915,3818,3771,3980,3441,3945,3356,3024,3481,3797,3498,2937,3469,3347,3595,4255,2766,3219,3926,2535,4509,4528,3911,3776,4175,3929,4982,4770,4249,4913,5272,4658
Michigan City-La Porte,7429,1994,9674,2277,2250,1834,1991,1709,1677,2082,1861,1750,1984,2731,1937,2658,2810,2150,2242,1779,2043,2045,2117,1913,2123,2197,1886,2321,2452,1934,1924,2028,1941,1978,2290,1665,1818,2478,1701,3156,3099,2450,2720,2667,2393,2790,2955,2836,2933,3739,3183
Muncie,6274,1997,8747,2264,2178,2034,1882,1711,1941,2264,2068,1860,2151,2428,1871,2584,2605,2309,2141,1844,2299,2266,2387,2063,2382,2103,1865,2205,2380,2316,2004,2380,2280,2380,2783,1835,2073,2613,1779,3048,3006,2536,2613,2711,2533,2909,3064,2858,3196,3499,3156
South Bend-Mishawaka,21322,5601,33192,6559,5923,5581,5537,5354,5524,6852,6061,5352,6329,6769,5298,7055,6957,5963,6003,5193,6045,6177,6303,5487,6223,5813,5133,6085,6486,5767,5423,5902,5717,5968,6610,4703,5216,6377,4459,7546,7512,6685,6608,6982,6608,7341,7669,6854,7555,8439,7423
Terre Haute,8579,2894,11754,3478,3300,2994,3007,2688,2764,3382,3080,2853,3174,3989,3035,4143,4307,3548,3559,3088,3587,3826,3765,3091,3701,3233,2830,3527,3762,3140,2931,3273,3129,3214,3707,2597,2846,3666,2577,4504,4493,3607,3785,3988,3522,4363,4456,4355,4608,5295,4650
