1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Ann Arbor,198005,198310,186137,198766,203716,199210,197707,194707,195795,194962,194274,195369,196706,197632,198227,192411,195917,197571,195123,195148,197039,194553,191870,194936,197417,196621,196791,191651,195310,196917,194173,196529,195917,192847,192204,191659,190758,194550,194333,192463,194896,202062,198537,196020,200033,191867,192064,195556,194069,198322,199375
Battle Creek,65505,61451,60383,61929,63094,62912,62634,61758,61938,63093,62823,63886,64360,63424,63271,62586,63475,63425,63169,62457,62973,63734,62946,64022,64439,63791,63325,62690,63597,64446,64090,64469,64032,65031,64880,64978,65513,64712,64436,64623,64987,65227,64467,64531,64854,65105,65211,65824,65547,65433,65246
Bay City,50159,48492,48693,49693,49995,49847,49551,49327,49342,50852,50214,50382,51300,50204,50279,50330,50375,50603,50288,50032,50295,51193,50443,50919,51571,51150,50731,50824,51194,51283,50861,51402,50817,51602,51357,51381,52053,51828,51219,52356,52382,52570,52212,52134,52060,52547,52336,52730,52711,53118,52846
Detroit-Warren-Dearborn,1930669,2165074,1929715,2158855,2148750,2148122,2160849,2177830,2174309,2201974,2179585,2140045,2157425,2155752,2133913,2145734,2146126,2113575,2125407,2126331,2137075,2137275,2114654,2117369,2127557,2106760,2092680,2082061,2099167,2094729,2090833,2116422,2097185,2103303,2108214,2088619,2086284,2089644,2077987,2082967,2088820,2071137,2069104,2088499,2078802,2088674,2087795,2055212,2065354,2050096,2024267
Flint,193901,180757,184035,183289,185751,184442,184202,181414,184316,185635,184208,184285,188729,184053,184562,182207,182972,181845,180822,179621,180957,184836,181348,184776,186619,183080,182851,181221,182865,182125,181097,181956,181085,184491,182606,183175,185253,182290,181517,183365,184004,184259,181795,181136,182774,182262,181506,185199,184538,184911,184070
Grand Rapids-Wyoming,581697,575963,538452,580283,588949,579881,576809,574621,574548,588048,584569,590532,595430,587849,587687,582665,588652,581240,577903,575643,577624,585508,575339,586559,588293,580480,581650,570137,578410,576490,574847,573194,571768,575865,572858,575563,578966,573787,572235,574368,576192,571491,564603,562359,566143,565577,563223,570559,569548,564669,566428
Jackson,77077,73061,72711,74238,74964,74524,74307,73404,73210,74633,74686,75915,76624,75201,75631,73991,74926,73755,73314,72814,73587,74103,73125,75421,75272,74937,74809,74008,74938,74611,73856,74217,73857,74880,74342,74399,74961,74199,74339,73914,74542,72446,70874,71086,72064,71426,71606,72842,72410,72947,73020
Kalamazoo-Portage,167939,166433,157198,168949,171479,170514,169898,168170,168955,168903,169159,170482,171762,170930,171041,168114,170454,168243,167202,166345,167697,168963,166283,169029,169827,169674,168863,167012,169504,170320,169500,169936,169458,168744,168403,167807,169841,169980,169008,169224,170779,170813,168803,168682,169907,168221,168762,168879,168429,170108,169505
Lansing-East Lansing,249299,248954,237500,249593,255202,254530,251363,248908,252777,247424,245508,252621,248895,250792,252515,247367,251135,254199,249715,248668,251686,247661,243259,254376,247596,252328,253371,249534,253166,249416,246215,247445,247948,244508,242019,249644,246554,249911,249338,250399,251823,250512,245441,245508,248060,241679,240487,248553,242187,248016,249017
Midland,40235,39617,38411,39919,40298,40356,40112,39967,39743,40867,40529,40991,41411,40438,40614,40014,40423,39910,39747,39907,39908,40752,40252,40866,41212,40307,40352,39778,40318,40486,40011,40663,40059,41188,40462,41185,41458,40844,40846,40940,41161,41853,41369,41455,41456,41716,41621,42093,42102,41805,41852
Monroe,78187,73674,77017,75402,76011,76309,75647,74900,75118,76959,75614,77186,77330,76563,76767,75616,76472,77057,76077,76028,76795,77121,76370,77355,77984,76558,76550,75571,76571,77041,76001,77899,77320,77380,76974,76915,77424,77182,76962,76540,77611,78749,77165,77733,78637,77876,77413,78911,78355,78546,78647
Muskegon,82618,75550,79064,77162,77797,79213,79046,77830,77897,80655,79837,79376,81135,78338,78542,77803,78367,76999,76798,76723,76577,79860,78037,78647,79769,77806,77476,77276,77827,76771,76382,77035,76273,78421,77729,77261,78280,76938,76626,77202,77334,78838,77727,78737,78140,79915,79464,79839,79904,78639,78895
Niles-Benton Harbor,74875,72699,70427,73025,74016,73781,73433,73494,73061,75610,75086,74888,76117,73272,73975,71876,72659,73034,72357,72792,72802,75252,73566,74420,75210,73643,73139,72243,73570,73152,72678,73914,72899,75134,74891,73889,75162,73374,72742,73202,73991,74498,73308,74701,74121,76397,75955,75766,76115,74349,74915
Saginaw,88934,85165,84061,86377,87199,87424,87425,86190,86955,88177,87261,87232,88564,87416,87010,86834,87191,88268,87588,86721,87331,88129,86691,87628,88940,87745,87010,86578,87662,89384,88674,89043,88487,89172,88468,88025,89748,88567,88342,88833,89042,90978,90261,90133,89725,90141,89920,90307,90672,90917,90473
