1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Ann Arbor,27218,4586,27662,4958,4455,4433,4300,5841,4991,8243,6405,5608,6915,5982,5014,5565,5329,5228,5305,5531,5768,7780,5828,5985,6991,6009,5600,6989,7053,6133,5823,7599,6683,8583,7490,5491,6405,5516,4332,6602,6838,6077,5219,6057,6931,7806,6759,6305,6802,5919,5452
Battle Creek,14406,2194,14884,2533,2266,2025,2170,2400,2184,3302,2799,2430,2924,2812,2343,2740,2594,2240,2593,2237,2283,3085,2382,2605,2884,3157,2787,3384,3556,2819,3074,3112,2967,3618,3301,2562,2911,2871,2307,3316,3452,2675,2686,2493,2749,3284,2866,2782,2885,3025,2674
Bay City,10030,2205,12310,2714,2307,1832,2111,1956,2031,2774,2303,2152,2561,2679,2150,2864,2596,1866,2264,1834,1876,2746,2030,2389,2611,3117,2648,3448,3506,2317,2720,2539,2403,3089,2892,2384,2560,2839,2250,3306,3507,2322,2543,2112,2301,2911,2474,2460,2645,2966,2576
Detroit-Warren-Dearborn,457525,100381,471785,94421,79969,72509,79904,89540,81543,116060,98126,91853,97895,95799,83850,99197,86496,80959,88601,79170,93014,107815,88881,77821,92883,90018,75935,101230,97565,77667,87481,93633,89105,93179,93068,75265,77278,105462,82528,128747,122432,105003,99229,112339,111928,126955,125996,99746,119419,114310,91237
Flint,47437,7501,55459,9113,7569,7015,7383,7708,8843,11383,9046,10277,10279,9542,7920,9924,8969,7378,8392,7271,7494,11511,7855,8679,9512,10603,9159,12007,11956,9209,10287,10122,9518,12016,10635,8318,9332,9894,7715,11353,11805,8706,9007,8096,8927,10968,9032,9326,9498,10194,8968
Grand Rapids-Wyoming,99234,14733,117501,16817,14496,13471,14067,16138,14212,22967,18319,16228,19785,18699,14899,18095,16930,14583,16448,15042,15254,21155,15730,17060,19455,20072,17472,22746,23144,18646,19722,20346,19185,24244,21794,16074,18644,17757,13576,21505,21461,17855,16877,16316,18220,21893,18443,18141,19538,19177,16694
Jackson,15436,2470,17763,2897,2559,2236,2414,2514,2412,3680,2949,2555,3171,3096,2507,3114,2931,2462,2818,2448,2505,3486,2600,2906,3335,3419,2991,4009,3974,3075,3245,3390,3192,4004,3650,2798,3232,3228,2544,3956,4046,3091,3065,2867,3190,3802,3272,3279,3412,3535,3184
Kalamazoo-Portage,26165,5174,28322,6105,5313,4804,5152,5675,5198,7809,6484,5677,6772,6662,5255,6562,6088,5230,6118,5268,5325,7390,5539,6125,6950,7479,6341,8351,8671,6687,7372,7327,6897,8414,7823,6028,6752,6700,5262,8135,8268,6524,6563,5902,6533,7727,6585,6570,7012,7154,6208
Lansing-East Lansing,40870,7116,45337,7893,7001,6462,6785,7804,9110,11437,8805,7784,9614,9019,7350,9846,8305,7989,7878,7288,7481,11037,7654,8521,9716,9826,8897,12614,11314,9207,9539,10534,9788,12665,11261,8321,10684,9191,7139,10815,10921,8546,8168,8152,8957,10704,9084,11331,9683,9402,8247
Midland,6366,1480,7686,1715,1478,1219,1335,1347,1246,1840,1525,1395,1675,1754,1392,1711,1601,1290,1509,1292,1317,1811,1378,1576,1744,2076,1777,2255,2341,1650,1827,1784,1698,2046,1914,1563,1682,1886,1456,2208,2296,1699,1705,1493,1669,1980,1705,1698,1797,1990,1678
Monroe,16557,2394,19836,3210,2570,2190,2312,2489,2210,4365,2963,3110,3140,3143,2724,3357,3218,2974,3028,2707,3066,3800,3463,3085,3427,3245,2839,4020,4069,3003,3082,4319,3853,4568,4070,2969,3371,3525,2871,3753,4305,2900,2637,2883,3505,3654,3202,2916,3080,3166,2862
Muskegon,20512,2982,23146,3367,2925,2821,2962,3060,2802,4375,3450,3072,3700,3575,2904,3570,3327,2925,3339,2970,3050,4322,3173,3560,4087,4240,3674,4539,4727,3779,4014,4117,3940,4862,4491,3382,3723,3723,2994,4482,4542,3622,3548,3339,3671,4600,3805,3727,3957,4137,3653
Niles-Benton Harbor,13927,2600,14107,3297,2785,2307,2628,2605,2282,3773,3184,2821,3523,3309,2628,3477,3186,2604,3129,2596,2623,3617,2787,3122,3544,3827,3229,4185,4402,3260,3659,3406,3198,4030,3726,2905,3285,3392,2584,4207,4328,3261,3373,2981,3220,3800,3324,3267,3521,3583,3079
Saginaw,18414,3661,21538,4363,3827,3386,3603,3526,4120,5045,4089,4020,4492,4592,3718,4865,4434,3430,3938,3399,3429,5072,3628,4028,4422,5073,4329,5713,5736,4208,4580,4538,4280,5271,4884,3893,4257,4646,3655,5305,5656,4010,4091,3648,3998,4913,4099,4226,4376,4802,4152
