1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Albany-Schenectady-Troy,453013,454463,440027,455180,456131,450946,450172,447840,451024,445575,444229,449560,449133,453963,450723,454069,451592,456707,457216,453365,459919,453732,449424,447487,457538,447454,447456,451301,448316,447864,443909,449293,449965,452635,449243,445636,451456,444784,445915,443205,445220,440587,436542,441994,442653,446543,444145,447643,449834,450687,447257
Binghamton,109551,106920,108648,106933,107158,105963,106098,106376,106841,105777,105610,106924,106994,107440,106733,107334,107078,108079,108458,108031,108886,107682,106916,107684,109178,107089,106783,107686,107617,108658,107733,109247,108970,108787,108229,108171,109541,108398,107987,107181,107905,106957,106066,107649,107515,107652,106808,109784,109110,111021,109913
Buffalo-Cheektowaga-Niagara Falls,541433,542179,539765,545293,543366,541733,540581,544771,545478,542973,543308,541761,542613,541657,539922,542585,537440,553487,556389,555682,558160,556268,556296,546767,556461,543061,541052,547714,543771,543928,538720,547959,546866,551494,549787,543118,549961,540955,541005,543666,541477,543356,544148,548166,549802,553894,556530,553088,554821,550291,548015
Elmira,37530,35286,36415,35748,35341,34797,34908,35057,35174,34691,34735,35028,35296,35243,34917,35522,34973,35266,35236,35371,35075,35506,35183,34972,35898,34779,34797,35617,34972,35384,35164,35743,35462,35922,35730,35082,36076,35360,35216,35975,35434,36955,36851,37012,37059,37326,37117,37396,37733,37807,37523
Glens Falls,58230,58351,57217,59271,59061,58410,58255,59739,59143,61775,61278,59321,61123,59004,58344,60040,59325,60704,61022,61132,60922,63983,63444,59589,62802,58667,58758,59994,59421,59895,59386,61114,60607,63645,63067,60094,62751,59348,59243,59422,59456,59494,59021,60705,60564,63741,63255,60942,63277,60599,59930
Ithaca,49800,49865,48859,48698,50164,51890,52056,52176,52370,50007,49777,51191,49161,51552,51866,49807,51476,52851,52592,52473,52783,50225,49891,51223,50622,51222,52056,49624,51644,52015,51109,51916,52254,49469,48601,50739,50022,51009,51606,49583,51052,56440,55605,57033,56921,54694,54056,56002,54430,57133,57399
Kingston,89381,88609,89971,88437,88633,88893,88609,89365,89966,89766,88870,89805,90224,89211,89162,88829,88666,90181,90336,90313,91374,90784,90018,88614,90985,86944,87664,87464,87262,88943,87843,89261,89363,89975,88973,87760,89917,87184,87702,86530,86396,88645,87452,89186,89190,90107,89394,89748,90494,89428,88996
New York-Newark-Jersey City,9484882,9897555,9445618,9976672,10037498,9977244,9961663,9941535,10024877,10013569,9969171,9900536,9955272,9972887,9892735,9920042,9946261,10075973,10097793,10069305,10130101,10242390,10147597,10006369,10178188,10046107,10001592,10032689,10094750,10029250,9929504,10122173,10098358,10265855,10160481,10048327,10152281,10048504,10047536,9927018,10000564,10010717,9985555,10043324,10042266,10157936,10085591,10052248,10104914,10191451,10072911
Rochester,510582,521720,504037,526111,526004,524706,524082,524328,526878,519303,517241,522719,520693,522173,521950,523161,522411,530041,530418,529079,530953,528529,524211,522339,532814,517947,521260,521431,520284,518016,512699,520117,519061,521133,517217,515565,524877,514898,517548,512862,515150,516433,514312,520537,520783,523665,519818,524363,528883,525084,523352
Syracuse,304429,307595,300722,310026,309394,309039,309147,310345,311819,307663,307236,308656,308865,309112,309224,311232,309256,310849,311930,309547,311897,310650,308003,303676,310826,301962,304580,304585,303417,308805,306008,310167,309213,310216,308043,305495,308423,305658,308567,303741,305324,306601,305023,310198,309841,308946,307413,310825,310676,314125,313343
Utica-Rome,128865,128632,127334,129920,129443,128086,128356,128249,128421,129114,129096,128418,129329,128928,128442,130649,128927,130095,130448,129611,130228,132063,131390,127112,131227,126540,126781,128323,127355,129530,128459,130571,129941,132539,131731,127996,131397,128407,128047,127935,128034,128324,127745,130020,129490,132810,132006,131257,131881,132258,131482
Watertown-Fort Drum,42217,43619,43637,44224,43730,44301,44502,44711,44294,45687,45548,44635,45271,43850,43479,44542,43829,44971,44918,45291,44975,46686,46301,44856,46460,44284,44267,45218,44684,45856,45368,46317,45611,47533,47033,45641,47213,44949,44947,45221,45089,45993,45520,47120,46446,48594,48320,47295,48237,46741,46352
