1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Albany-Schenectady-Troy,43556,17782,55111,18340,17591,14392,16417,15357,15504,15948,16664,14553,14463,16869,14443,18210,17674,13948,15168,15355,14459,17261,16614,16000,17859,21099,18755,22537,23253,19189,18691,18702,18019,19513,18873,17292,19428,17886,17671,20455,20616,17012,17294,18441,17779,18349,17548,16713,17466,19377,18063
Binghamton,11655,5707,16256,5970,5728,4226,5138,4394,4459,4737,4800,4174,4303,5207,4314,5685,5420,3990,4631,4356,4108,5139,4880,4725,5253,6673,5760,7291,7427,5823,5876,5424,5222,5785,5458,5284,5914,5904,5637,6658,6814,5338,5589,5585,5507,5612,5214,5203,5400,6392,5835
Buffalo-Cheektowaga-Niagara Falls,77301,27036,103750,27979,26645,21321,25376,21381,21983,23282,24077,20372,20071,24160,20505,26924,25464,20128,22739,21122,20075,25149,24106,23389,24805,31668,27644,33734,34750,29073,29525,26954,26277,29253,28588,26109,28057,28160,27245,31347,32137,26504,27738,27242,26926,27014,26367,24327,24723,29202,27359
Elmira,4550,1674,5795,1771,1676,1281,1563,1393,1411,1435,1496,1342,1341,1500,1318,1605,1571,1270,1421,1476,1381,1664,1599,1631,1744,2105,1846,2219,2326,1930,1917,1874,1811,1928,1866,1819,1938,1950,1891,2065,2233,1886,1886,2021,1980,1989,1913,1945,1928,2265,2095
Glens Falls,6530,3109,8956,3257,3005,2336,2950,2064,2129,2130,2222,2142,2006,2989,2466,3204,3096,2239,2681,2053,1988,2248,2207,2365,2405,3700,3075,4068,4054,3136,3410,2598,2505,2660,2608,2533,2608,3202,2952,3596,3658,2948,3216,2684,2644,2632,2508,2586,2474,3642,3139
Ithaca,3891,1747,4920,1863,1786,1561,1659,1830,1825,1897,1936,1612,1671,1758,1567,1860,1844,1521,1559,1708,1609,2007,1840,1691,2108,2141,2011,2315,2428,2255,1972,2232,2084,2370,2155,1915,2440,1922,1951,2137,2227,1944,1887,2118,2023,2173,1991,1933,2174,2000,2051
Kingston,9808,3621,13148,3731,3617,2871,3249,3053,3071,3334,3492,2926,2950,3335,2824,3644,3535,2767,3078,3083,2897,3603,3547,3288,3618,4224,3705,4704,4780,4039,3900,3830,3765,4098,4041,3654,3982,3808,3788,4292,4447,3658,3719,3896,3751,3976,3853,3522,3662,4001,3802
New York-Newark-Jersey City,1449935,380048,1430303,385350,372263,342275,335883,346125,368904,391391,389172,348457,350853,392811,322307,440191,429878,333317,362747,388363,364421,446494,423914,353978,422162,440510,403117,466672,466626,434801,394762,478586,466277,487401,488285,413344,437319,411361,389865,457564,470433,446989,412497,519406,498830,529781,519542,440543,471276,512884,457767
Rochester,56398,23846,74861,24680,23612,19386,22702,20052,20260,20993,22001,18954,18649,21853,18920,23339,22950,18124,20251,19500,18406,22487,21851,21117,22770,27862,24803,29268,30637,26173,25723,24600,23993,25863,25221,23166,25367,24506,23725,26660,28036,23318,24114,24518,23958,24408,23387,22229,22825,25921,24403
Syracuse,36163,14570,48913,15246,14612,11493,13649,12083,12126,12432,12925,11362,11217,13516,11424,14691,14240,10896,12505,11406,10802,13370,12540,12373,13826,16962,14809,18293,18870,15700,15695,14913,14304,15365,14822,13913,15363,15003,14517,16619,17426,14162,14961,14855,14329,14563,13955,13452,13944,16074,14768
Utica-Rome,14416,6351,19206,6691,6256,4992,5990,5025,5064,5328,5506,4960,5203,6036,5089,6630,6291,4843,5624,4975,4739,5771,5428,5472,5855,7639,6708,8166,8399,6878,6974,6216,6071,6453,6324,5982,6404,6714,6454,7331,7603,6020,6503,6161,5958,6004,5741,5788,5765,7174,6648
Watertown-Fort Drum,5066,3124,7380,3321,3097,2442,3006,2088,2156,2120,2299,2010,1885,2745,2302,2999,2901,2138,2510,1898,1842,2222,2128,2223,2227,3555,2930,3801,3879,3093,3260,2464,2469,2598,2551,2592,2528,3186,2933,3476,3610,2874,3176,2563,2629,2523,2443,2444,2358,3399,3006
