1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Asheville,35851,8330,34733,7981,7317,6431,6467,6732,7056,8552,8542,8008,8895,8041,6843,8506,8184,6488,7256,5620,6402,7676,7317,6855,7938,8161,6912,8632,8493,8303,8147,7407,7589,8326,8273,7902,7730,8857,7628,10347,9413,8823,8986,8623,8662,8861,9064,8381,9246,9933,8755
Burlington,9925,3353,9331,3182,2959,2652,2598,2793,2877,3669,3503,3218,3653,3213,2799,3486,3265,2599,2861,2279,2565,3247,3021,2844,3373,3228,2790,3393,3414,3352,3228,2994,3100,3482,3437,3246,3282,3583,3145,4006,3680,3477,3558,3475,3522,3710,3725,3487,3896,3973,3685
Charlotte-Concord-Gastonia,175213,53087,161328,50826,47632,43238,42004,42845,44840,55829,53614,51147,56492,51155,45169,55151,51472,42931,46012,38836,42787,51161,48654,45490,52468,54311,45741,58945,57478,55658,54321,49663,51740,55159,55152,52440,52504,56830,52201,65862,61336,57451,58624,58545,58160,60785,61361,57355,63228,64689,60803
Durham-Chapel Hill,29874,11062,26431,10658,9724,9000,8768,9417,9843,12174,11922,11155,12423,11102,9639,11863,11169,9116,9917,7972,9014,11093,10479,9829,11494,11365,9782,11836,11851,11617,11236,10474,10794,11957,11855,11151,11145,12280,10905,13912,12798,12187,12399,12102,12212,12753,12946,12069,13330,13605,12522
Fayetteville,21974,8120,20018,7944,7284,6839,6633,6972,7228,8805,8466,7907,8789,7884,6919,8833,8148,6823,7365,6024,6710,8103,7650,7052,8105,8070,7040,8750,8618,8431,8208,7448,7727,8259,8143,7947,7771,8594,7856,10071,9237,9117,9191,8885,9210,9246,9193,8800,9587,10014,9402
Goldsboro,4745,2306,4387,2273,2057,1922,1863,1967,2074,2529,2449,2337,2560,2339,2060,2566,2371,2050,2195,1804,2004,2379,2316,2183,2465,2564,2221,2701,2681,2683,2603,2349,2439,2715,2624,2644,2543,2853,2656,3322,3044,3065,3092,2925,3514,3031,2971,2835,3061,3205,3023
Greensboro-High Point,50795,16263,49765,15784,14370,13337,12866,13839,14293,17757,17246,15854,17742,15753,13734,17307,16168,13540,14433,11641,13091,16262,15302,14515,16720,16732,14463,18043,17714,17453,16889,15501,16048,17670,17420,16924,16643,18063,16479,20578,19035,17994,18446,18156,18091,18883,19101,17978,19713,20324,18880
Greenville,8871,3950,7728,3863,3515,3397,3258,3556,3629,4765,4475,4116,4750,3930,3377,4259,3996,3305,3541,2934,3290,4273,3934,3816,4454,4113,3638,4358,4369,4273,4103,3812,3913,4514,4418,4349,4282,4406,4047,5092,4622,4522,4670,4482,4981,4977,4968,4760,5199,4969,4753
Hickory-Lenoir-Morganton,24583,6908,28634,6641,6086,5729,5594,5912,6184,7480,7369,6856,7658,6888,5934,7369,6985,5649,6299,4786,5471,6554,6263,5821,6801,6866,5859,7301,7135,7286,7065,6406,6855,7316,7186,6950,6869,7606,6743,8948,8116,7873,8098,7800,7830,8034,8210,7764,8399,8891,8194
Jacksonville,7402,3155,7325,3108,2817,2617,2583,2667,2867,3377,3343,3142,3463,3191,2782,3510,3268,2707,2915,2569,2853,2874,2727,2625,2960,3115,2652,3374,3298,3319,3199,2917,3066,3214,3134,3006,2928,3206,2899,3969,3494,3497,3574,3384,3400,3428,3477,3285,3599,3848,3549
New Bern,5026,2166,4888,2137,1933,1806,1769,1869,1924,2430,2356,2206,2484,2255,1945,2524,2308,2084,2203,1793,2085,2246,2183,1967,2277,2347,1998,2492,2447,2475,2414,2194,2232,2421,2401,2329,2285,2513,2249,2966,2657,2697,2718,2564,2749,2619,2653,2526,2758,2973,2692
Raleigh,77885,26854,72046,25748,23600,21714,21122,22514,23302,28783,28061,26197,29106,26228,22767,28047,26390,21334,23237,18799,21202,25755,24504,22830,26531,26729,22996,27938,27816,27360,26389,24406,25222,27531,27410,25986,25777,28251,25411,31938,29690,27670,28384,27467,27863,28647,28975,27366,29913,30837,28652
Rocky Mount,8673,3478,7551,3396,3094,2975,2811,3128,3209,3948,3779,3581,3945,3468,3201,3895,3607,3068,3219,2855,3100,3974,3652,3749,4099,4094,3766,4446,4418,4303,4153,3811,3989,4292,4215,4422,4180,4436,4493,5214,4870,4613,4726,4676,4867,4821,4768,4557,4873,5119,5071
Wilmington,19260,6014,20071,5874,5398,4752,4701,4869,5077,6281,6117,5778,6398,5907,5104,6621,6089,5264,5581,4861,5301,5754,5418,5066,5836,6010,5142,6544,6361,6330,6213,5351,5732,6136,6075,5802,5801,6363,5692,7535,6906,6411,6660,6485,6465,6592,6767,6264,6899,7302,6700
Winston-Salem,39830,13292,38188,12876,11744,10855,10648,11172,11617,14202,13983,12893,14436,12818,11110,14001,13035,10771,11726,9463,10724,13007,12403,11514,13475,13511,11571,14284,14203,13956,13546,12355,12861,14034,13838,13621,13333,14605,13169,16767,15415,14590,14989,14594,14519,15270,15422,14537,15961,16593,15236
