1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Akron,345381,354508,341310,356403,360892,359765,357283,358228,359941,365539,363089,356091,361632,361675,357639,358994,360101,362589,363805,359617,364471,365963,359859,364156,366540,365461,362653,355864,361439,359637,357821,357008,360757,361403,356557,360580,359993,357638,358564,354447,359580,361149,359330,362360,362511,368751,363729,367957,366808,364391,364658
Canton-Massillon,194892,197140,194164,198241,199959,201834,200759,200209,202081,204254,202830,199457,202540,200975,199694,200435,200384,199625,198913,197104,199771,202306,197928,202055,203845,201738,200970,197961,200134,198507,197927,197103,198367,199683,198276,199099,200276,198045,197774,197157,198485,198891,199510,199742,199919,205235,202473,204083,205209,202533,202986
Cincinnati,1103802,1113065,1077860,1128467,1130662,1146588,1147422,1145596,1148340,1161217,1156370,1128924,1154169,1132826,1130062,1122902,1123421,1112418,1112523,1107975,1119286,1137541,1114538,1122343,1136620,1111441,1110342,1086562,1101833,1110074,1101507,1115059,1111240,1136464,1122330,1113679,1130329,1098605,1103108,1083726,1090275,1078880,1082209,1085842,1086578,1108171,1101297,1094605,1101866,1076909,1080865
Cleveland-Elyria,1041377,1001147,1004957,1028763,1037111,1037367,1031269,1042674,1034543,1069025,1049502,1034836,1050072,1035755,1044152,1022851,1033550,1033690,1020599,1039724,1039643,1059929,1041520,1026415,1050490,1019318,1035699,1009625,1024989,1025431,1010359,1034018,1026403,1059575,1041894,1038817,1055777,1025161,1035109,1015823,1027256,1021524,1014214,1028930,1024773,1058491,1038807,1037523,1044887,1029259,1039948
Columbus,1075278,1096446,1068761,1105851,1115658,1110424,1107792,1098320,1104529,1117354,1110384,1085581,1104276,1093671,1086915,1088805,1090726,1080438,1083998,1066695,1084773,1095029,1075780,1091903,1100046,1086710,1084172,1060705,1073957,1075080,1075670,1073503,1076696,1084372,1075567,1063378,1076342,1062240,1062880,1049933,1058743,1048854,1049103,1047370,1048013,1072839,1062742,1061372,1066941,1050194,1051954
Dayton,389909,389200,392185,391469,392480,391539,391334,389261,393049,392768,391684,384000,390663,388678,386785,385803,389158,388687,389354,386783,391210,390145,387104,390927,391682,395903,394550,385142,392266,392243,393503,385582,389298,391460,387116,383930,386432,385619,384862,379756,384587,382455,383169,385183,383887,392625,390287,386681,390608,387410,386563
Lima,48954,47532,49248,47775,48084,48401,48253,48290,48538,48913,48983,47736,48976,48286,47945,48126,48219,47561,47767,47174,47882,48684,47654,48742,49537,48736,48288,47622,48184,48195,47967,47808,48003,49157,48437,48259,49057,47952,48151,47725,47894,48889,48795,49144,48924,50975,50278,49850,50660,49304,49296
Mansfield,53246,51428,53775,51680,52476,53617,53471,53138,53283,54916,54056,53164,54413,53468,53181,52928,52761,52706,52853,52464,52986,54022,52905,53408,54376,53450,53072,52519,53013,53045,52879,53248,53218,54712,53888,53279,54227,53153,53371,52304,53050,52121,51979,52458,52158,54042,53551,53470,53738,53621,53479
Springfield,63588,63706,65149,63519,63996,64120,63881,63520,64638,64146,64166,63159,64344,63830,63379,63500,63825,63529,63627,63079,63813,63969,63275,64440,64699,64042,63807,62426,63545,63591,63190,63317,63524,64163,63794,63555,64294,63282,63319,62266,63077,63475,63187,64470,63651,65487,65026,65372,65455,65138,64981
Toledo,308651,300966,304586,301714,305039,303095,302573,301016,304406,306645,303987,303700,304734,303391,301315,302638,302473,302255,302518,299096,302769,304074,297814,304721,308168,302344,302022,298979,301485,306581,305739,306429,307446,312516,308116,306111,310244,305418,305120,303580,306300,303552,303335,304752,303663,312740,310077,311381,311801,305775,306002
Weirton-Steubenville(1),50284,50684,49837,50356,50792,50156,50012,50424,50517,51073,50611,49642,50841,49919,49821,50026,50192,49938,49896,50033,50451,51217,50218,50753,51391,50284,50375,49791,50509,50295,50271,50704,50753,51277,50847,50636,51770,50414,50579,49923,50642,51909,51337,53132,53050,53861,53597,53302,54015,52776,53369
Youngstown-Warren-Boardman,232807,234609,235749,236056,237923,237634,236819,238489,238518,243984,240594,238495,243263,240431,237919,240590,240502,239542,239244,237010,239752,242800,238290,241966,245163,240815,240123,241394,240483,245457,243181,246600,245537,250917,246117,247920,250579,250221,246717,245059,247263,248592,247206,250658,249077,254394,251411,253872,254078,252056,252318
