1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Akron,42768,19079,54546,18931,17549,14359,14317,15329,14828,16680,15959,12279,15505,15658,12107,20427,17643,14992,17677,14528,15635,17154,15743,14794,18872,16524,15205,18568,17589,15889,17164,16550,16512,19186,18649,16087,19097,19137,15833,22236,21392,16238,17690,17841,16973,17395,16914,16788,17980,20381,17979
Canton-Massillon,24727,11558,31634,11635,10730,8855,8905,8740,8785,9353,9001,7558,8724,9489,7286,12156,10393,8833,10368,8507,9186,9889,9010,8934,10947,10207,9438,11199,10540,9128,9920,9369,9528,10907,10585,9505,10922,11188,9317,13113,12726,9727,10440,10781,10114,10430,10141,10591,10827,12696,11298
Cincinnati,123248,48943,152041,48989,44633,39013,37256,42183,40783,48481,44618,35310,45306,40628,32783,50976,44276,39318,43965,40851,43396,48685,43521,40723,53014,41411,38887,45125,44438,41384,41627,44102,44641,53493,51249,43260,53223,46477,40795,54450,51682,41473,43331,46620,44336,46950,44904,44492,49019,51370,45032
Cleveland-Elyria,178467,71348,232626,47899,52596,34197,36128,42193,33520,54707,42957,40568,49393,45864,39540,53164,49992,45850,49869,46123,46414,58285,54348,50457,64370,48405,46142,56439,58121,46889,47296,58729,52900,69716,70354,60243,67229,66802,55916,66944,77527,45856,52943,50750,51489,56324,55408,52849,56954,56280,50408
Columbus,117276,45511,146108,46506,42315,37127,35470,40774,39006,43885,41980,32193,40564,37119,29864,48470,41593,37870,43554,38030,40666,44436,40839,37809,49343,37785,36337,41812,40333,38109,39759,40539,40222,47379,46056,39417,47626,42225,36508,50227,48073,38701,40522,43728,40841,42432,41168,40738,44511,46428,41529
Dayton,49398,17999,62446,18456,16899,14822,14162,16223,16376,17616,16796,13280,16314,14840,12013,19488,16820,15353,17739,15390,16465,18449,16414,15468,20035,15334,14736,17517,16682,15888,16641,16741,16837,19823,19206,16510,19788,17605,15241,20964,20114,16186,16965,18281,17178,17733,17203,16907,18476,19422,17388
Lima,7347,2588,10137,2511,2340,1849,1826,1971,1936,2331,2037,1545,2018,1870,1452,2454,2119,1864,2239,1872,2021,2639,2039,1980,2515,2041,1938,2311,2194,2027,2149,2194,2156,2918,2494,2201,2586,2435,2147,2967,2787,2193,2363,2434,2275,2711,2312,2207,2408,2460,2176
Mansfield,8332,2930,10924,2977,2731,2336,2363,2318,2265,2627,2362,1855,2318,2381,1827,3125,2663,2365,2842,2179,2390,2812,2351,2315,2934,2578,2381,2993,2761,2590,2793,2616,2628,3292,2894,2584,3033,3023,2571,3516,3367,2633,2860,2832,2697,2881,2623,2679,2851,3395,2907
Springfield,7892,3382,11362,3598,3171,2745,2552,2680,3246,3163,2748,2110,2704,2596,2029,3403,2961,2607,3077,2579,2784,3361,2799,2762,3390,2584,2494,2894,2773,2700,2828,2776,2773,3673,3189,2765,3374,3059,2599,3701,3522,2982,3044,3707,3013,3363,3069,3026,3300,3663,3185
Toledo,52601,16021,67058,16175,14568,12226,11961,13006,12836,14264,13421,14202,13028,13160,10385,17697,14819,13836,15520,13450,14219,16021,14644,14212,17410,13610,12770,15876,14983,13499,14433,16043,14948,19594,18516,16341,19130,15860,14611,17849,17625,13531,14135,14973,14246,14349,14251,13570,14556,16563,14067
Weirton-Steubenville(1),7584,3621,9125,3386,3197,2800,2744,2811,2869,2938,2782,2308,2813,2850,2241,3521,3286,2684,2926,2640,2767,3310,2919,2929,3442,3312,3021,3685,3549,3068,3250,2934,2925,3481,3384,3038,3547,3624,3259,4159,4034,3331,3247,3628,3510,3859,3750,4033,4068,4846,4356
Youngstown-Warren-Boardman,35618,16588,46739,16360,15238,13192,12778,13160,13118,14788,14317,11641,13558,14200,11324,16503,14453,12747,14382,12328,13242,14785,13511,11653,14789,13738,12352,18755,14698,13219,13976,17469,13771,19749,15900,14534,16194,20641,14550,17946,18947,14047,14542,15385,14804,15701,15259,15247,15640,17586,15757
