1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Allentown-Bethlehem-Easton,442184,444708,447826,446366,446920,447193,446371,441676,447705,444848,443621,438676,442882,436888,434951,434927,437888,437283,437716,435165,441725,442538,436487,432886,440510,429142,430482,431821,432357,424897,419318,427105,425019,435293,429721,433357,434935,428078,430076,426795,427643,426160,423542,433795,430562,438861,437207,433591,437127,431063,429340
Altoona,60794,59126,61376,59597,59624,60263,60428,60474,60615,62227,61256,60494,61620,59983,59454,59773,59849,59966,59794,59651,59513,61132,60899,59614,60750,58558,58838,59094,58933,58274,58021,59167,57819,61466,60480,60751,61836,59753,60230,59810,59357,61262,60828,62308,61981,63852,63197,62854,63389,61521,61479
Bloomsburg-Berwick,42876,43354,44146,42521,43593,43246,43052,43197,43515,43435,43225,42754,42370,42508,42386,42035,42678,42573,42399,42579,42609,42645,42323,41474,42249,42416,42272,42081,43194,42333,42031,42765,42556,43147,42362,43022,42682,43365,43393,42758,42977,43439,42893,43778,43968,43938,43551,43942,43422,43859,43667
Chambersburg-Waynesboro,79709,78212,76578,78824,79314,79552,80492,79115,79421,79920,79651,78566,79465,77999,77498,78776,78611,77166,77612,76923,76680,78132,77999,75882,77834,75697,74842,76690,76722,75713,76009,76125,75632,78395,77326,77302,78188,76999,77031,76487,76699,79037,78192,79985,79779,81214,81442,79981,80335,80066,79114
East Stroudsburg,82686,83514,80387,84648,84686,83674,83914,82919,83780,84890,83917,82226,83267,82218,81271,82528,82509,81594,81769,81289,81588,83407,82423,80806,82024,80658,79973,81687,81760,80027,79694,80698,79621,82985,81459,81818,82266,81283,80911,81572,81406,81019,80503,82285,81829,84510,83005,81761,83326,80971,80304
Erie,127093,128613,128271,128958,129882,130658,130219,130825,131188,132069,130730,129536,131339,129208,128251,128924,129759,128655,127973,129001,129163,130799,129053,128067,129114,127686,127404,128398,129427,131452,129392,132117,130712,133900,132653,132721,132849,132064,132050,130951,131797,134679,132941,136908,135718,137769,137446,135590,136528,134757,134752
Gettysburg,56501,54765,53988,54601,55530,55474,55006,56076,56079,56500,55994,55809,55997,55147,55026,54757,55536,56351,56144,56490,56249,56955,56331,55434,56417,55059,54792,55283,56004,55229,55027,55904,55610,56630,55876,56237,56217,55574,56070,54745,55326,55060,54196,56036,55845,56802,56266,56371,56228,56024,55872
Harrisburg-Carlisle,306900,301253,299187,303565,303620,300395,299972,298960,300533,304900,304051,298566,303022,293699,295360,294815,295352,297176,297448,297246,296840,303872,300228,293388,298813,289405,290209,291030,291338,294575,292829,297608,294800,308040,304473,301009,305544,293733,297599,293146,292974,294014,292369,297986,295935,305633,304729,299713,303553,295866,296602
Johnstown,57178,58314,58635,58186,58729,59382,59537,58633,59591,58973,58897,58645,59162,58782,58200,58138,59013,59340,59558,58650,59572,59963,59581,58771,59746,58488,58615,58908,59497,59882,59458,59745,59978,61089,60499,60774,61564,60400,60905,60076,60570,61565,61059,62029,62153,63051,62594,62354,62542,62494,62232
Lancaster,288482,283179,277006,284386,287211,283948,283323,285781,285702,292629,289703,284352,288910,279828,280042,278736,281206,281783,282283,282313,282386,287964,284385,279372,284943,274442,275099,276386,278431,276017,275704,280593,277134,287758,284491,284861,287601,278711,282878,274612,275290,273517,271077,279388,277700,284002,283607,279576,281522,277892,277959
Lebanon,75274,72414,73494,72389,73302,72895,73088,73118,73247,73880,73258,72610,73711,71149,71208,70962,71469,70391,70511,70662,70211,71741,71002,69881,71715,68995,68944,69293,69865,69180,69004,70030,69215,72023,71076,71222,72295,70247,70780,69267,69682,70212,69479,71168,70797,72376,71896,71410,71934,71081,70672
Philadelphia-Camden-Wilmington,3102674,3148679,3071697,3148404,3165913,3166021,3158309,3143988,3176237,3150994,3139759,3105330,3126885,3116023,3099737,3099999,3115700,3117829,3127814,3097567,3120672,3139765,3102847,3068883,3109785,3066165,3068626,3067935,3079781,3094001,3070315,3088609,3089440,3136801,3098451,3105511,3118975,3096677,3105432,3078582,3090370,3104393,3087467,3104885,3107342,3147796,3121571,3120246,3137451,3113270,3106354
Pittsburgh,1191818,1211194,1184847,1217280,1223634,1218322,1217578,1212878,1222456,1225721,1216316,1207133,1218342,1209097,1201239,1205229,1207861,1212233,1209534,1200822,1210143,1216852,1197801,1189836,1206083,1185075,1188389,1197916,1196559,1201660,1194138,1202578,1195174,1224312,1204546,1214133,1222571,1204797,1209850,1200913,1201498,1220996,1209896,1226927,1225170,1247615,1233723,1226699,1239642,1215333,1215448
Reading,227232,217276,219873,216819,219141,217367,216981,217138,218080,218853,217543,214897,216427,213340,212283,212454,213546,214002,213873,213331,213310,215757,213429,210545,214627,208896,208953,210447,211285,211555,210491,212827,211232,217642,215356,215372,216626,213611,214737,211197,212368,215779,213806,217559,216774,219227,217982,216961,217974,216032,215389
Scranton--Wilkes-Barre--Hazleton,270478,278684,274348,277810,279084,280136,279027,277152,280620,278431,277844,276369,277570,276353,274601,276164,276538,282693,281143,279736,281162,283996,281107,275341,279904,274811,275222,278179,277304,278025,275972,276441,275639,280586,276620,278144,278484,276579,277270,275887,275759,279141,277415,280643,279593,285772,281849,281768,283549,280921,280380
State College,80425,80846,79765,81792,84354,84355,82967,83246,84542,79794,79898,82359,78507,82671,82577,79352,82943,80833,79418,78661,80521,76823,77314,74560,76267,78580,79219,76885,81514,79401,77514,78321,78943,76098,75982,79146,75274,80116,80552,75644,79917,81452,79061,80503,81805,77591,77996,80719,77138,80566,80754
