1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Allentown-Bethlehem-Easton,59558,25209,71450,22304,22025,18481,20451,17626,19213,20253,19857,16868,17631,18210,14725,19286,19302,17119,17647,18297,18119,20904,20523,16826,19795,20830,18208,22869,23041,18843,18409,19460,18420,23295,22510,22558,21878,22066,20201,22360,22960,20540,19863,24210,22943,25849,26336,22931,23309,23387,21997
Altoona,7950,3571,10588,3203,3194,2681,3036,2390,2690,3028,2819,2131,2565,2310,1831,2539,2533,2249,2374,2214,2252,2785,2625,2072,2772,2561,2251,2983,2967,2430,2529,2512,2310,3263,3029,3105,3186,3039,2826,3236,3273,2919,2983,3134,3198,3732,3606,3188,3412,3358,3130
Bloomsburg-Berwick,4800,2679,6270,2449,2291,1762,2202,1603,1790,2026,1796,1736,1810,1771,1399,2024,1974,1597,1867,1644,1612,2051,1881,1591,1993,2153,1718,2538,2494,1775,1970,1811,1697,2312,2127,2167,2136,2321,2061,2445,2370,1916,2113,2108,2119,2662,2572,2391,2413,2485,2155
Chambersburg-Waynesboro,8572,4115,9956,3507,3713,2913,3354,2654,3000,3266,3057,2511,2726,2599,2125,2839,2753,2503,2551,2610,2597,3147,2851,2348,2962,3001,2570,3498,3498,2804,2869,2918,2735,3779,3520,3798,3613,3580,3239,3818,3777,3643,3497,3951,4070,4517,4658,4030,4153,4050,3818
East Stroudsburg,14758,6028,16754,5302,5236,4490,4765,4066,4484,4640,4415,3847,4043,3983,3348,4269,4235,3991,4079,4033,4013,4547,4491,3772,4308,4731,4081,5214,5240,4286,4335,4372,4144,5105,4925,5212,4911,5023,4684,5044,5196,4688,4706,5220,5162,5730,5697,5287,5274,5237,4948
Erie,17269,8589,21378,7505,7459,5872,6456,5030,5704,6238,5644,4968,5515,5493,4334,6023,5814,5225,5671,5125,5288,6290,5771,5226,6335,6896,5862,7802,7861,6403,6630,6401,6079,8098,7475,7935,7780,8149,7578,8673,8691,7961,8156,8768,8685,9905,9672,8989,9180,9238,8823
Gettysburg,6399,2221,7913,2136,2125,1722,1842,1597,1809,2052,1887,1533,1743,1539,1248,1784,1850,1554,1608,1709,1715,1986,1866,1480,1912,1821,1574,2246,2238,1703,1772,1769,1630,2345,2193,2205,2224,2065,1889,2232,2224,1953,1968,2112,2157,2668,2553,2186,2363,2248,2042
Harrisburg-Carlisle,34428,14212,40066,12672,12722,10986,11424,10519,11594,12283,11878,9604,10731,9394,7882,10155,10196,9835,9855,10113,10078,11711,11385,9288,11583,10978,9811,12883,12850,10722,10988,11379,10533,14053,13256,13482,13459,12280,11736,12447,12903,12075,11527,13580,13422,15611,15307,13789,14266,13115,12546
Johnstown,7579,4381,10193,3797,3759,3040,3477,2596,2882,3432,3292,2522,3134,2761,2120,3043,3005,2613,2897,2595,2630,3452,3252,2449,3394,3183,2690,3759,3703,2968,3138,3070,2842,4105,3881,3726,4047,3901,3433,4101,4128,3722,3868,3916,3956,4912,4820,4188,4564,4445,4067
Lancaster,32328,12260,40786,11328,11205,9444,9550,8916,9935,11088,10510,8456,9439,8372,6893,9104,9333,8437,8519,8741,8779,10875,10005,7992,10316,9392,8361,11362,11178,9081,9124,9641,9008,12415,11707,11351,11693,10456,9817,11359,11311,10306,9950,11501,11653,14036,13545,11498,12510,11602,10753
Lebanon,8417,3648,10129,3267,3301,2758,3014,2633,2827,2959,2906,2362,2644,2400,1963,2653,2634,2379,2550,2450,2463,2886,2856,2166,2791,2697,2382,3176,3187,2649,2630,2596,2411,3263,3135,3034,3086,2924,2638,2973,3064,2872,2665,3151,3194,3681,3657,3197,3331,3265,2990
Philadelphia-Camden-Wilmington,414761,157314,445136,144838,142473,125696,126538,121263,130650,136222,135804,110745,117226,116279,96496,127692,125546,111851,114986,126284,121489,145021,141300,114473,134763,135935,120972,149270,149571,136466,128439,143039,135663,163496,158158,151442,150220,141727,135909,146700,151061,141629,134666,162549,159801,182102,177883,159314,163533,157007,150971
Pittsburgh,159066,73886,193147,63825,63855,51965,55761,46324,52068,55042,53801,44169,48979,47405,37743,51588,51457,44662,47713,45168,45590,53662,52473,42932,53173,55388,46963,65040,63846,51822,53768,52797,49572,66262,62647,64305,64498,64863,58347,68075,68796,62502,62352,67967,67692,78689,77523,70159,72196,71845,65949
Reading,30422,12467,37787,10860,10880,9224,9502,8563,9455,9927,9691,8199,8783,8173,6790,8775,8833,7965,8121,8268,8255,9375,9238,7507,9121,9088,7976,10290,10517,8563,8392,8893,8333,10681,10238,10625,10235,10067,9387,10265,10550,9779,9478,10779,10785,12133,12170,11036,11150,10783,10401
Scranton--Wilkes-Barre--Hazleton,41045,20154,48793,17635,17328,14528,15707,12951,14435,15269,15283,12601,13295,13571,10889,14653,14376,12670,13439,12674,12783,14800,14772,11649,13726,14920,12751,16886,16682,13311,13889,13734,13030,16868,16061,16322,15848,16853,15172,16823,17175,15096,15292,16589,16687,19351,18869,17394,17808,18106,16973
State College,6571,3502,7720,3092,3146,2635,2851,2492,2790,3011,2504,2476,2531,2241,1893,2515,2531,2230,2445,2411,2406,2862,2543,2254,2788,2493,2316,3009,3115,2501,2559,2583,2391,3329,2944,3272,3027,2915,2724,3106,3170,2852,2990,3175,3309,3956,3768,3387,3594,3331,3031
Williamsport,6655,4086,9021,3470,3509,2667,3209,2413,2617,2644,2616,2286,2401,2674,2004,2856,2817,2413,2715,2427,2349,2679,2643,2283,2694,3190,2597,3572,3546,2767,3067,2816,2608,3361,3100,3444,3267,3675,3197,3756,3797,3330,3532,3747,3687,4331,4206,4216,4036,4397,4091
York-Hanover,29129,11417,35840,10394,10454,8822,9056,8262,9194,10078,9578,7717,8826,7751,6389,8443,8586,7972,7955,8342,8259,10002,9572,7497,9747,9080,7992,10796,10619,8771,8702,9335,8672,12057,11177,10874,11317,10124,9470,10540,10658,9761,9441,10858,10883,12836,12545,11079,11671,10950,10350
