1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Chattanooga,277836,281670,272897,276758,279535,276238,276302,277417,277205,281826,275877,277370,280667,275242,275665,271142,272938,272283,271018,273388,273923,279671,274234,273162,279952,272245,274346,268429,272608,269419,268776,268900,268856,271521,266731,263347,270091,264391,264771,263132,263792,261123,260177,262439,262721,263721,260505,257943,262680,257846,257915
Clarksville,119421,120498,115239,117307,119126,118641,118827,119513,119161,120105,118581,119423,119984,117882,118236,115241,116273,114352,114018,113057,114003,114314,112732,113279,113940,113243,113947,111003,112948,111092,110565,111774,110859,111693,111014,111135,111187,112208,112048,110970,110896,112566,111972,112682,112862,112039,111538,111903,112339,111141,111402
Cleveland,58830,61187,57276,61168,61029,59968,60057,58556,58733,59118,58091,58922,58978,58220,58425,58305,59019,60039,60866,58049,58425,58681,58071,57781,58626,57272,57788,57341,57567,62217,62934,59725,60019,59593,59311,58193,58953,58364,58249,59686,59262,62959,62516,59342,61345,58993,59143,57994,58776,57362,57507
Jackson,61255,65457,58116,64481,65141,66345,66421,66467,66325,67877,66421,66541,67465,65671,65792,64186,64806,64784,64768,64634,64861,66325,64975,64692,66471,64309,64801,63173,64521,64068,64467,64520,64188,64746,64159,63346,64613,63823,63221,63275,63246,63142,62804,63397,63132,64046,63329,62457,63559,62229,62189
Johnson City,89704,93450,88354,91315,91702,93667,93641,93560,93640,93647,92386,93777,93253,93749,93701,90811,92886,90686,90727,90201,91305,91037,89586,90475,90255,90651,91109,89193,90746,90669,90667,91440,91320,89847,89251,89228,89137,90662,90381,89703,90506,91264,90795,91692,91602,90445,90037,89921,89815,89588,90166
Kingsport-Bristol-Bristol,134221,138674,133540,137666,137686,142140,142770,141376,142139,143034,141312,142065,142700,140117,140647,137633,139606,139430,139213,138391,138724,140927,138668,139395,140552,138974,139609,136913,138677,137191,137215,138945,137944,138665,138435,136351,137949,137867,137137,137026,137603,138581,138330,139745,138924,139341,138892,138379,139052,138657,138275
Knoxville,423524,435526,413806,429840,433424,437210,436817,437256,437833,444717,436513,438809,442384,435041,435736,423926,428135,421816,420603,418865,419996,427746,419803,422169,427177,421836,421561,415505,422512,417666,415292,420565,418323,417396,413955,411043,415319,413853,411275,413517,414747,420303,417407,421879,422103,423275,417613,416775,422281,413473,413994
Memphis,624801,646222,598956,638277,642245,649789,649469,648021,646985,664902,650601,650588,663106,642312,642837,634327,639087,645689,643207,637304,642577,654975,641249,638620,654114,637690,637301,628166,635623,634828,632641,630308,630651,641388,630876,625358,637880,629914,628392,626795,626450,628465,627221,625143,629705,632007,624425,620522,630469,616825,618807
Morristown,53507,53660,52648,53451,53884,53272,53337,52836,53130,53529,52504,53385,53306,52889,52893,51735,52540,52477,52417,51799,52256,52548,51670,51767,52481,51847,51743,51146,51852,52103,51724,52185,52413,51616,51452,50887,51260,51309,51047,51030,51201,51731,51216,51582,52264,51639,51042,51200,51653,50906,50864
Nashville-Davidson--Murfreesboro--Franklin,1067764,1111189,1038875,1091456,1098735,1086666,1089367,1081323,1087653,1097648,1082078,1085081,1093731,1076862,1078784,1055729,1066759,1040567,1037452,1029157,1036101,1048735,1027023,1034569,1050146,1028663,1035091,1013382,1025007,1011648,1014533,1019250,1017264,1012097,1007205,995116,1008028,996791,995016,984877,991146,981555,977760,980767,979208,986415,977520,964149,981891,957293,961221
