1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Chattanooga,25982,9352,36412,10022,10018,8075,9010,8389,8375,11378,9487,8361,10883,9060,7736,9975,9308,8663,8427,9408,10081,11021,10190,8357,11356,9565,8157,10352,10212,9450,9022,8532,9088,11756,10380,8663,11758,12071,10118,14659,12925,12410,12987,13578,13273,13411,13398,10229,13461,11356,10640
Clarksville,12769,5204,18398,5354,5275,4451,4401,4611,4775,6237,5020,4549,5795,4720,4061,4795,4437,4321,4035,5046,4944,5832,5203,4242,5806,4648,3945,4732,4766,4525,4089,4311,4285,6082,5322,4471,5913,6169,5190,7022,6200,5481,5824,6317,5947,6194,6219,5036,6392,5417,4882
Cleveland,5623,2048,7748,2354,2317,1884,1968,1988,1892,2821,2200,1889,2600,2038,1664,2197,1909,2018,1822,2219,2232,2484,2333,1820,2606,2039,1716,2184,2139,1947,1805,1685,1770,2486,2143,1659,2575,2715,2135,3246,2807,2597,2769,2835,2753,2863,2870,2154,2972,2267,2143
Jackson,6289,2117,7931,2479,2536,2106,2071,2263,2193,2905,2368,2073,2800,2267,1932,2400,2130,2265,2071,2582,2588,2825,2684,2149,2920,2411,2069,2591,2584,2387,2205,1981,2200,2755,2460,2000,2861,3097,2462,3782,3162,3009,3278,3268,3176,3285,3405,2500,3424,2697,2530
Johnson City,8182,3279,11641,3900,3926,3091,3176,3186,3070,4376,3470,3246,4146,3403,2863,3683,3232,3309,3090,3682,3641,4026,3779,2936,4098,3404,2773,3786,3668,3323,3124,2917,3047,4118,3663,2843,4181,4531,3553,5849,4977,4645,5037,5032,4865,4792,4934,3774,5036,4052,3738
Kingsport-Bristol-Bristol,13288,5247,18260,5767,5649,4544,4625,4640,4626,6276,5035,4777,5980,5180,4181,5483,5038,4678,4633,5044,5040,5689,5307,4400,5932,5233,4300,5538,5383,5104,4717,4745,4834,6245,5497,4823,6316,6730,5524,8043,7119,6914,7152,7419,7320,7340,7295,5783,7504,6385,5676
Knoxville,38048,13229,55944,15203,15550,12510,12460,12612,12695,18384,13921,12715,17383,13672,11119,14521,12767,13305,11936,14565,14712,16264,15177,11543,16858,13625,11170,14598,14254,13138,12074,11464,11935,16706,14381,11083,16916,18280,14329,22336,19340,18268,19304,19949,19334,19458,19644,14686,20025,15816,14829
Memphis,67835,24851,76221,28233,28081,25166,25069,26322,24868,33233,27479,24372,31937,25255,22671,27448,24342,24561,23622,27404,27284,30518,28138,24281,31852,25054,22433,26216,26096,24826,23434,22159,23259,30486,26262,22895,31196,31506,26330,37754,32253,31679,33395,34689,34104,34489,34164,28220,36144,29002,27363
Morristown,6229,1936,8573,2478,2464,1823,1846,1856,1853,2539,2002,1836,2419,1970,1669,2155,1956,1856,1685,2023,2001,2216,2098,1675,2320,1923,1571,2253,2207,1883,1712,1622,1663,2269,2013,1550,2275,2526,2021,3220,2829,2501,2699,2752,2649,2682,2735,2098,2813,2339,2118
Nashville-Davidson--Murfreesboro--Franklin,121487,27731,157666,30281,31085,26071,25742,26376,27906,36684,28767,26006,34589,27929,23040,28805,25214,27520,24228,30677,30506,33176,31609,23938,34114,27699,23026,28662,28156,26672,24185,23080,23848,32807,28840,22431,33342,35463,28457,42567,37141,35336,36999,39320,37496,37982,38555,29252,39274,30872,29470
