1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Abilene,73781,78129,70944,79552,80089,78137,77336,77137,77610,76633,76141,76839,76945,77522,77140,77494,77715,77145,77377,76468,76782,76491,75984,76921,76805,77253,77344,75852,77163,74900,74968,74611,74061,73837,73644,74492,74587,75044,75256,73883,75232,76133,75989,76181,76005,76086,75700,75478,75651,75827,76009
Amarillo,122277,131654,119039,132684,133883,133175,132641,131978,133028,131987,131480,132393,132541,133085,132533,131912,133456,134170,134047,132485,133467,133178,132174,134125,133508,133355,133992,131106,133053,132651,132958,131882,131419,131672,131376,133179,132445,133715,133363,131503,133317,132014,131844,131843,131185,131776,131102,132333,131910,131401,132064
Austin-Round Rock,1169689,1235984,1132878,1253815,1263708,1235828,1235899,1220394,1230512,1218206,1211275,1210013,1215794,1213676,1212444,1206140,1216564,1203767,1207936,1193565,1198220,1186106,1179196,1188497,1192072,1190395,1191164,1170045,1188479,1147438,1150367,1141445,1133527,1132325,1126108,1132217,1135351,1136766,1136984,1121904,1128784,1110495,1108316,1108888,1105484,1114887,1107349,1098926,1109571,1097460,1095908
Beaumont-Port Arthur,168400,173205,162652,175078,175308,178256,177467,177084,177475,176271,175214,175107,176243,177193,175641,177575,177925,171422,172228,170423,172072,172289,171174,173558,173349,176260,174815,175062,175945,172109,172794,174242,171315,171357,171280,172842,173138,175306,175644,174982,175479,177126,178100,178698,177287,177490,177977,176364,177323,177531,176283
Brownsville-Harlingen,160672,168821,155287,169038,169601,165718,165897,164762,164335,165816,164319,164461,165887,166886,164520,166900,167150,166374,167357,165636,164994,167833,165672,167528,168425,168356,168206,165433,167105,164014,164860,165785,163328,167442,167530,167830,168227,169502,168774,167670,168718,167457,168792,168176,166528,169785,169233,168131,170042,168075,167812
College Station-Bryan,129720,137292,123034,135849,140140,138879,136874,135758,138876,131211,130097,135107,130174,136986,135472,133363,137379,135876,134501,133973,135709,129289,127175,134033,129379,135660,134156,131309,135476,131628,130472,130375,131309,124441,124007,129427,124636,129593,128583,127151,129306,127897,126640,127076,127063,122631,122472,126477,123095,125564,125439
Corpus Christi,193593,205198,186127,206470,207553,210817,209848,208114,209448,206838,207238,207247,207840,210172,207978,208710,210624,208905,209187,205634,207372,206473,205195,207855,207072,209759,208637,205754,209047,209301,209697,210254,208879,207937,208217,209316,209570,209937,209630,205673,208440,212318,213180,212695,211757,212424,212334,211727,212763,213530,213221
Dallas-Fort Worth-Arlington,3830901,3962016,3685992,4023717,4050029,4062973,4054399,4010417,4025199,4003839,3986056,3951725,3989654,3975740,3962459,3958232,3982893,3946654,3962576,3900738,3928333,3919174,3894841,3897914,3903134,3887962,3903466,3829770,3881089,3809917,3816293,3804779,3768428,3782926,3773579,3765846,3772902,3777276,3770081,3739729,3763206,3752319,3749215,3742404,3726196,3721242,3727737,3676364,3694005,3656152,3664013
El Paso,350771,365709,335171,368635,371132,368463,366925,363919,366308,358807,358859,362302,360459,364763,363329,364662,366215,362473,363598,360428,362010,358218,356339,359741,358109,361619,361383,356435,361384,359883,360241,360335,355936,355914,355488,357718,356697,358945,359388,355056,359349,355350,355537,355544,353974,351899,352704,351473,349756,350854,350308
Houston-The Woodlands-Sugar Land,3322543,3434119,3195425,3461219,3493272,3498843,3487842,3455713,3476739,3448123,3429317,3419243,3441389,3436157,3426744,3423169,3449107,3442613,3453216,3405254,3420931,3418897,3393699,3396897,3414202,3395174,3407683,3349883,3394856,3313265,3328011,3310957,3290419,3319707,3307745,3313519,3322070,3328900,3337041,3298133,3324325,3305447,3310294,3318041,3296157,3311453,3306384,3264176,3285288,3275884,3267197
Killeen-Temple,168379,177456,162674,179438,180045,181526,180295,178862,180188,178942,177420,177797,178197,178441,178470,179233,179462,179995,180314,177272,178206,178150,177866,178621,178189,177972,178354,175283,177959,179598,179457,179771,178553,178896,178689,178411,178152,178580,178650,177361,179023,175020,174923,174737,173427,173948,174283,172753,172921,172468,172333
Laredo,112758,118469,104251,119635,120412,118975,118131,117816,118389,117428,117066,117059,117978,118388,117732,118400,118912,115710,116571,114382,114961,115212,114393,115477,115287,116324,116292,114979,116583,114687,115037,114560,113386,114292,113599,113977,114681,115178,115070,114517,115091,116312,116429,116183,116232,115699,115983,114238,115114,114437,113755
Longview,92055,97058,89317,99063,98929,97533,96762,97150,97664,96904,96366,95945,96301,97260,96671,98080,98447,98124,98012,97004,97616,96730,95910,97150,96687,97766,97533,97232,97999,97466,97405,97562,96911,96714,96710,97063,97515,98403,98173,97777,98079,101765,101789,102600,101783,102341,102442,100983,102020,101828,101090
Lubbock,152301,161477,145186,163097,164281,165760,164550,164188,165169,163789,163180,163246,163747,164402,163595,161982,164015,165894,165847,164355,165169,165067,164578,165186,165017,165236,164654,160886,164431,159592,159482,159893,158802,159301,160047,159844,160384,161267,159511,157731,160280,156793,156236,157181,156159,157358,157509,157587,157391,157189,157377
McAllen-Edinburg-Mission,350075,359346,338467,363350,362715,358519,362502,352762,356225,348160,349753,351270,353845,355805,351678,355864,355854,345504,351108,341127,340899,340690,339305,347469,346276,350257,349027,346735,348856,337136,341294,335719,332581,334234,335117,340726,341875,344451,343024,340706,343180,338662,344653,338493,335085,335403,338268,339379,339784,340610,339025
Midland,102288,108242,95438,110813,111375,108438,107732,107962,108112,107563,107083,106103,106549,106705,106499,108564,107485,99807,100757,100435,100864,100716,100244,99051,98981,97257,99812,95480,96274,87297,87499,87508,86248,86794,86380,86445,86440,86838,86865,86304,87241,90010,89935,90102,89598,90719,90250,90193,90400,90134,90187
Odessa,84591,86622,79055,87996,87979,87872,87446,87340,87338,87211,86573,86161,86045,86625,86383,87258,87103,80621,80908,80451,80893,80626,80026,80505,80239,80613,81328,79807,81010,74592,74809,74986,74265,74174,73975,74084,73686,75232,74753,75002,75802,78311,78458,79253,78394,79488,79218,78496,78977,79319,78660
San Angelo,50442,54454,48428,55300,55696,56285,56015,56103,56244,55831,55667,55906,55752,56173,56095,56094,56682,55986,55969,55250,55465,55135,55076,55297,55236,55559,55379,54731,55572,54224,54359,53818,53881,53634,53707,54736,54276,54635,54563,53869,54384,56421,56230,56630,56142,56343,56472,56557,56678,56547,56456
