1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Abilene,6554,3397,6279,2494,2395,2275,2172,2274,2251,2558,2457,1962,2482,2450,1971,2781,2622,2370,2446,2527,2377,2672,2630,2458,2853,2741,2490,2701,2728,2423,2374,2610,2309,2941,3030,3000,3175,3147,2861,3084,3276,2730,2878,3213,2873,3307,3192,2748,3150,2911,2655
Amarillo,10420,4800,10425,3566,3446,3280,3099,3290,3241,3743,3553,2775,3558,3601,2806,4043,3840,3397,3479,3600,3360,3899,3747,3462,4110,3965,3461,3716,3812,3388,3291,3604,3166,4152,4105,4110,4438,4708,4067,4424,4744,3962,4165,4593,4141,4689,4451,3692,4327,3953,3612
Austin-Round Rock,132803,47371,138089,34492,33412,31363,30028,31932,31384,34971,33673,26983,33197,33121,27645,40159,36542,32389,32975,34628,32367,36603,35789,32887,38092,36803,32772,34961,36038,31321,30801,33200,29264,36421,37761,36100,38636,41275,36091,38983,41659,33716,35513,39133,35325,39773,38704,31728,37166,34194,31423
Beaumont-Port Arthur,29980,14164,29462,10590,9588,9211,9637,9337,8829,10600,10306,7941,9861,9329,7946,11688,10616,9141,10168,10075,8934,10892,10737,10250,11051,11738,10771,12839,12031,11132,11606,14293,10849,11708,12344,12055,12651,13824,12949,14376,14161,11404,13094,12915,11082,13208,13272,10684,12180,11347,10760
Brownsville-Harlingen,25714,13518,26577,10707,9820,8938,9544,8507,8466,9677,9246,7576,9362,9117,7767,11199,10475,8767,9652,9455,8555,10968,10207,10043,11668,10961,10462,11289,11127,9515,9832,10570,8923,11797,12266,11720,13167,13354,12641,13622,13903,11105,12383,12556,10996,13103,12904,11025,12847,11654,11214
College Station-Bryan,11197,5418,10906,3968,3841,3600,3372,3572,3611,4081,3870,3124,4008,3698,3005,4319,4088,3614,3763,3877,3623,4285,4167,3710,4585,4106,3658,4089,4086,3600,3527,3793,3311,4372,4472,4156,4755,4688,4065,4684,4869,4065,4296,4760,4289,5181,5036,4131,5008,4268,4003
Corpus Christi,28508,12736,29525,9879,9107,8513,8889,8451,8248,9324,9110,7446,9072,9267,7476,10753,10479,8957,9497,9883,8848,10695,10255,10171,11317,11500,10658,12036,11584,11057,10934,12466,10635,11434,12110,11958,12441,13821,12905,14072,14151,11799,12917,13281,11948,13188,13144,11235,12730,11967,11405
Dallas-Fort Worth-Arlington,469624,183947,470108,132745,128838,123312,117547,123222,123935,136946,132387,107788,131317,131266,110729,155849,143806,124989,128925,133091,124862,142437,138606,131071,148245,143934,131077,137675,141867,120359,120121,127863,113120,141580,146743,142402,151528,161330,144657,150906,161709,130412,138651,151859,135729,156276,152950,128144,147772,138776,128900
El Paso,50945,19629,49525,14802,14268,13630,13208,13529,13546,14568,14265,11735,14215,14175,11945,16702,15872,14059,14581,15189,14108,15842,15583,14838,16726,16253,15007,16252,16383,14355,14466,15207,13505,16500,17107,16979,18018,19056,17266,18488,19567,16201,17340,18906,16987,19157,19221,15906,18279,16961,15908
Houston-The Woodlands-Sugar Land,463133,190369,452336,141539,134569,126373,126011,124698,123054,136679,134150,108008,130535,128634,110023,154860,144617,129598,135422,140823,128813,150368,146566,142509,157250,156241,144796,161615,159864,142454,143787,159899,135329,162692,170588,167570,176436,190043,175802,189620,195100,162145,175315,190391,166963,191204,191042,157280,179949,161225,157195
Killeen-Temple,17998,9356,18350,6902,6742,6430,6108,6373,6344,7113,6746,5568,6859,6749,5632,8173,7629,6771,7033,7141,6780,7452,7363,6978,7842,7344,6830,7247,7326,6509,6360,6848,6061,7388,7571,7546,7867,8550,7700,8347,8738,7231,7603,8442,7517,8652,8345,7080,8270,7502,7110
Laredo,16008,6600,14213,4915,4745,4194,4305,3982,4048,4665,4331,3778,4581,4484,3796,5146,5026,4013,4387,4163,3983,4607,4318,4165,4963,4622,4192,4491,4576,3923,3922,4148,3663,4832,4952,5000,5439,5798,5240,5778,5959,4816,5283,5758,5099,6269,6005,5202,6110,5601,5279
Longview,11220,5545,10963,4213,4035,3600,3569,3545,3513,3866,3751,3007,3630,3666,3111,4329,4030,3705,3838,3912,3721,4139,4045,3915,4370,4364,3994,4472,4449,4073,4037,4425,3922,4947,5035,5188,5445,6209,5595,6412,6473,5590,5861,6814,5817,6999,6986,5522,6672,5507,5498
Lubbock,14301,6341,14371,4783,4563,4327,4079,4411,4375,5413,4798,3755,5168,5106,3792,5268,5068,4497,4665,4909,4530,5678,5202,4650,5947,5784,4656,4962,5157,4365,4328,4677,4062,5754,5816,5171,6209,6383,5132,5404,5908,4772,5039,5678,5053,6505,5931,4834,6174,5202,4767
McAllen-Edinburg-Mission,61857,33660,61656,27586,24352,21910,25298,20614,19803,23334,22437,17726,22074,20471,17563,26958,23662,20111,23513,21141,18618,23720,22527,21514,24983,24196,22561,26405,24692,21028,22914,22930,18814,25526,26710,25564,28476,29237,27405,30764,30147,23974,28195,26898,22586,28600,28329,23711,27861,25875,24399
