1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bellingham,119541,115692,119559,118389,118137,119032,119412,115533,117985,117384,116109,115563,115243,116265,115421,114944,116019,114935,115192,110179,113986,111881,110696,110497,110770,110865,109766,110564,110351,113551,112196,110768,113257,113563,109633,108546,110443,108821,108290,109107,108853,106568,106763,103361,105389,106261,103161,104894,105172,106475,106109
Bremerton-Silverdale,133610,129623,131278,132386,133381,132318,133649,127543,130702,127876,128322,126831,126077,126906,126352,126623,126956,124990,127040,120517,123363,120533,120017,121102,121144,121734,120125,122220,121664,121846,121609,119629,121991,120625,118739,117177,118850,118031,117504,119792,118882,120120,120242,116167,118303,118081,117391,117163,117165,118367,117815
Kennewick-Richland,150090,146081,149902,147040,147858,147587,147420,147992,148636,150255,150108,145744,151957,144016,144991,140825,143367,141395,141490,140290,141454,143236,140166,138652,145379,137491,137312,135499,135943,137525,135621,139190,138622,141320,138710,134293,143239,134626,133812,133556,132955,134070,133068,135676,135528,137168,135989,133921,141270,132110,133251
Longview,49594,47986,48734,48962,49036,48462,48508,47035,47887,46984,47226,46945,46772,47179,47039,46906,46800,47320,47740,45910,46471,45624,45999,46044,46100,46220,45789,46050,46164,46470,46206,45838,46134,45667,45517,44703,44711,44993,44960,45256,44905,46467,46318,45509,45907,45257,45427,45043,44692,45724,45638
Mount Vernon-Anacortes,64507,62319,65337,63887,63548,63700,64106,62662,63783,63818,63554,62049,62589,61878,61997,61233,61750,60816,61005,59533,60951,60144,59761,59124,59432,58712,58511,58443,58375,60434,59715,60745,60744,61553,60856,58727,59800,58411,58743,58436,58187,58831,58679,58273,58962,59476,58972,57759,58460,57907,58086
Olympia-Tumwater,148138,145437,150129,147321,148186,148006,148616,143081,146215,142174,142569,142095,140902,143288,142816,142508,142615,139702,140719,135368,139037,134557,134236,135844,135592,136386,135166,136710,136033,138322,137080,135608,137219,135087,134284,132772,133371,132753,132516,134388,133033,130966,131530,127304,129833,128309,127403,128953,127919,130602,129723
Seattle-Tacoma-Bellevue,2165105,2165143,2158872,2201744,2213251,2205234,2200057,2189689,2188755,2171659,2182802,2153646,2150205,2171551,2149021,2146900,2167978,2129170,2131466,2117734,2115242,2114287,2106200,2098999,2099419,2116587,2103154,2103818,2128306,2079857,2083271,2089345,2070342,2063557,2077056,2057153,2053338,2062759,2057509,2051292,2066002,2050248,2039824,2046273,2050222,2022484,2032843,2010061,2008957,2019486,2010728
Spokane-Spokane Valley,279274,281293,279513,286409,287348,285614,288671,277006,283822,276085,275615,276529,274299,279344,276398,276577,278461,269848,272793,258901,267148,256745,257234,260749,259044,261090,258607,260239,261338,270100,266315,264978,268762,261424,258535,256635,258240,259783,258420,261709,260730,264442,265350,256167,261532,254919,254201,254207,253510,257967,257020
Walla Walla,32151,31572,31787,31461,32073,33675,32438,32214,33957,32645,32124,32100,32644,32069,31811,30824,31661,32916,31933,31359,33172,31727,31041,31627,32135,31408,31165,30486,31072,32901,31151,31571,33274,32008,31014,30747,31217,30540,30445,30734,30966,30923,29867,29549,31117,30310,29436,30337,30543,30255,30109
Wenatchee,65115,63123,65211,64205,64004,66871,66515,71730,70364,78978,73815,65965,73825,64837,65176,63794,64522,65063,64580,68983,68921,76830,70152,63208,69854,62571,62309,60809,61042,64090,62479,69373,67619,76187,69934,62358,71490,61438,61648,61450,61288,62232,61211,67359,66551,75782,67379,62444,68559,60693,61307
Yakima,134980,128874,132966,128105,130075,129334,128630,138881,137331,139004,136794,130705,139997,130267,130328,125565,129346,131430,128884,138124,138216,137615,133205,127465,134202,126329,127191,119956,122116,121570,119520,135984,132295,135132,136887,123914,136402,124942,123334,123288,123054,122002,120525,131951,131547,131823,129096,121531,131583,121241,121981
