1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bellingham,18719,5482,20517,6548,5917,5862,5675,5557,5769,6269,6477,5325,6229,6087,5878,6296,6858,5237,5764,4350,4746,4867,4885,4991,5186,5769,5303,6103,6179,4867,5558,4972,4707,5311,5154,5109,5375,5778,5173,6844,6412,6036,6406,6037,6253,6863,6535,6058,6575,6804,6583
Bremerton-Silverdale,17726,5427,18451,5858,5656,5744,5424,5612,5824,6460,6502,5690,6534,6629,6296,6725,6764,5650,6169,4898,5263,5144,5181,5614,5544,6343,5969,6568,6641,5421,6080,5523,5341,5626,5536,5680,5644,6152,5740,7084,6642,6599,6644,6596,6807,7400,6941,6652,7051,6724,6996
Kennewick-Richland,18491,7842,19053,9194,8897,7933,8755,6812,7203,7975,8170,7308,8044,10254,8329,10044,10766,7327,9035,5712,6284,6603,6513,7146,7079,8894,7785,9738,9652,6997,9041,6343,6363,6685,6706,7046,6840,8819,7409,11547,10306,8885,10353,7983,8233,9037,8898,8499,8839,9757,9405
Longview,7682,2724,7668,2893,2896,2851,2654,2732,2847,3065,3205,2846,3128,3166,3054,3234,3100,2629,2930,2220,2398,2500,2497,2661,2659,3078,2856,3141,3157,2527,2920,2467,2384,2553,2547,2630,2584,2956,2719,3494,3263,3178,3357,3229,3285,3434,3434,3222,3382,3406,3406
Mount Vernon-Anacortes,10702,3223,12485,3933,3656,3514,3478,3218,3365,3632,3778,3226,3647,3638,3453,3837,4202,3101,3458,2615,2851,2858,2824,2971,3019,3406,3168,3593,3678,2889,3445,2837,2757,2997,2959,3046,3057,3525,3171,4197,3905,3810,3965,3661,3783,4055,3953,3698,3924,4165,3997
Olympia-Tumwater,21272,6762,22314,7072,6989,7008,6522,6632,7014,7438,7585,6603,7425,7649,7356,7756,7837,6497,7048,5507,5907,5945,5950,6373,6395,7211,6692,7445,7610,6014,6897,6071,5979,6308,6218,6268,6254,7033,6380,7995,7619,7265,7469,7240,7484,8060,7504,7321,7740,7940,7821
Seattle-Tacoma-Bellevue,330165,118960,360161,72020,67382,63690,60440,76970,71521,78702,78981,72235,74738,89789,73257,89580,89035,82219,80150,77182,74916,81044,75754,78788,85259,82858,75082,95480,90710,85618,84442,86689,82596,81582,86782,74045,82798,75690,69335,88934,81379,88366,82583,90546,86950,99902,92072,97046,96745,103013,92869
Spokane-Spokane Valley,41854,14944,44287,16674,16941,14428,14987,13343,14030,15480,15950,13971,15442,18996,16136,18726,18162,13619,16289,11486,12311,12640,12802,13477,13302,16821,14569,17520,18214,12773,15635,12370,12173,13182,13013,13376,13186,16718,14143,18825,18434,15218,17345,15110,15468,17220,16494,15533,16554,18060,16919
Walla Walla,3457,1421,3507,1688,1592,1527,1573,1448,1523,1717,1703,1416,1677,1949,1616,1946,1917,1418,1712,1180,1305,1340,1291,1358,1394,1672,1479,1869,1847,1379,1684,1322,1337,1398,1356,1375,1402,1687,1393,2185,1912,1636,1907,1534,1577,1799,1673,1575,1692,1851,1747
Wenatchee,9282,3431,9821,4053,3981,3453,3645,2770,2936,3173,3659,3180,3233,4290,3589,4483,4553,3196,3908,2265,2641,2482,2781,3095,2756,3930,3294,4182,4236,2961,3706,2491,2536,2640,2866,3266,2878,4029,3240,4847,4613,3744,4148,3235,3413,3760,3748,4035,3640,4633,4363
Yakima,18882,8667,18434,10781,10480,9080,10634,6881,7299,8465,9498,8747,8686,12055,9780,12265,12782,8463,10653,5551,6517,6627,7296,7612,6988,9484,8134,10997,10375,7132,9851,6050,6125,6481,7956,7697,6878,10275,8401,13603,12321,10100,11978,7572,8294,9442,9534,9300,8974,11048,10231
