1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Appleton,128532,128631,129830,130409,129537,128792,128365,129340,128883,133255,131605,129404,132734,130359,129819,130674,130180,132411,132211,132987,132595,136058,134707,133703,136644,134000,133278,132243,133820,135554,134753,135033,135007,137379,136888,133398,137458,132485,132762,132365,132762,131484,130359,130590,131120,132901,132485,130068,132888,130939,129884
Eau Claire,89973,92052,87836,91387,92378,92055,92101,91767,92370,93621,92778,91628,92542,93127,92728,92197,92729,93259,92730,93011,93450,94972,93520,94159,94745,94164,93958,91463,93396,92433,91622,92060,92058,92415,91707,91783,92355,91449,92117,90405,91780,93574,92248,92249,92721,92660,92126,91963,91698,92455,92206
Fond du Lac,58080,56591,58715,56772,57068,56783,56493,57135,56945,58355,57607,57063,58505,57780,57103,57233,57029,57874,57288,58059,58196,59237,58182,58334,59722,58332,58094,57243,57815,58618,58073,58230,58012,59150,58554,57958,59565,57482,57536,57113,57457,57984,57607,57850,58071,58883,58830,57609,58807,58040,57379
Green Bay,174055,171762,171305,173125,173532,175660,175193,175785,175832,179359,178274,174216,178400,176233,174965,175671,175954,175008,174287,175632,175793,179639,177295,176131,180241,176596,176323,174300,176085,174131,173148,174303,173822,176665,176815,172176,176132,169682,171234,170433,171392,173819,172576,173617,173820,173902,174340,170392,173987,171253,170313
Janesville-Beloit,84386,84583,86565,85466,85541,85683,84837,85682,85433,87716,87073,85031,86598,85877,85330,84844,85643,84371,83127,84290,83927,87640,86356,85905,87037,86293,85930,84681,85953,86714,86239,86926,86613,88620,87563,85988,87501,85659,86216,84260,85631,87299,86282,86729,86729,88674,88260,86187,87613,85918,85946
La Crosse-Onalaska,73755,76211,75096,75696,77459,78613,78057,77756,78225,78011,77400,77601,77980,78840,78399,76867,79131,78902,78520,78733,79193,79554,78690,79881,79830,79538,80263,78193,80249,80746,80015,79635,80298,79275,78854,79087,79754,78242,79376,77663,79082,79255,78674,77975,78692,77883,77215,78140,77778,78465,78374
Madison,370124,387949,366858,385356,390112,387316,385059,383006,385954,389432,385762,379374,387040,386903,384233,382249,386718,392039,388149,392807,392931,397522,392067,392605,396669,396516,394406,387897,394656,397336,393340,393537,395378,395025,392586,387849,392679,388189,389259,385554,390453,385192,381819,383549,384456,385273,383860,380392,383232,383699,379776
Milwaukee-Waukesha-West Allis,829443,810441,816896,815284,821258,823071,815313,823044,824515,838435,834931,815753,830099,827160,820722,816735,828995,819083,810047,827803,825377,846045,841100,831215,842721,840749,835127,824260,837232,833556,825579,838065,830566,846035,842465,823842,840126,823060,820103,815489,823726,826566,814558,829063,828449,842526,840251,822484,837583,828397,824621
Oshkosh-Neenah,91007,90159,91430,91141,91222,91752,91293,91875,91883,93709,92993,91746,93074,93006,92358,92311,92766,93387,92819,93752,93834,95300,94356,94398,95221,95148,94603,93627,95234,93954,93518,94539,94175,95525,94770,93669,95020,93440,93315,93094,93883,92448,91155,91865,92246,92912,92571,91754,92509,92556,91919
Racine,101551,96984,101440,98051,98029,98046,97450,98813,98607,101361,100634,97810,99831,99460,98247,98759,99481,98023,97199,99106,98494,101724,100801,99355,101182,100414,99441,98837,100430,99694,98864,100832,99639,102435,102697,99020,101712,99019,98631,98768,99481,98978,98078,99579,99063,101770,101109,98672,100727,99165,98663
Sheboygan,62772,60703,62458,61175,61140,62157,61735,62925,62830,64890,64482,62489,65052,62573,62357,62076,62418,62743,62051,63799,63142,65933,64826,63803,65828,63562,63133,62854,63247,62202,61928,62852,62193,64390,64075,62328,64432,61610,61578,61850,61567,61958,61760,62434,61473,63480,63634,61716,63204,61277,61097
Wausau,73341,73692,71898,74049,73918,73468,73871,73096,73385,75005,74715,73153,75038,74534,73799,74618,74003,75061,74866,74720,74938,76880,76132,75625,77377,76126,75708,75132,75809,75968,76267,75100,75303,76028,75764,74737,76810,74420,74264,74274,74457,75320,75158,74373,74868,75655,75564,73892,75745,74360,73571
