1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Appleton,13517,3544,17692,4689,4309,3231,3547,3349,3110,4154,3859,3220,4211,3708,3110,4014,3758,3058,3158,3107,3114,3958,3786,3181,4301,3836,3285,3715,3932,3419,3268,3528,3659,4085,3949,3315,4167,4184,3473,4815,5177,4086,4302,3923,3982,4806,4633,4355,5250,5642,4929
Eau Claire,9559,3270,11755,4222,3888,2472,3194,2490,2375,3064,2942,2402,3153,3174,2553,3507,3251,2218,2567,2114,2223,2711,2507,2187,2961,3030,2490,2930,3092,2292,2553,2573,2390,2922,2898,2373,3046,3330,2551,4014,4042,2924,3435,2756,2839,3488,3226,3134,3802,4568,3743
Fond du Lac,6551,1691,9560,2122,1963,1399,1503,1538,1400,1857,1868,1379,1857,1625,1215,1739,1631,1251,1277,1222,1292,1762,1662,1344,1906,1588,1324,1555,1718,1326,1282,1456,1396,1786,1760,1374,1842,1728,1393,2031,2207,1708,1719,1663,1676,2217,2120,1922,2363,2503,2083
Green Bay,20556,5350,23705,6919,6456,4731,5165,4888,4505,5873,5590,4588,5984,5307,4278,5600,5352,4119,4254,4143,4238,5311,5087,4317,5754,5372,4553,5162,5707,4460,4404,4844,4598,5495,5219,4505,5627,5979,4720,6691,7194,5739,5935,5547,5614,6565,6373,6140,7123,7984,6775
Janesville-Beloit,11502,3235,14744,4424,3951,2932,2959,2968,2722,3345,3394,2612,3386,3079,2389,3100,3051,2994,2303,2408,2354,2933,2874,2393,3201,2981,2365,2793,3130,2541,2389,2878,2658,3125,3224,2847,3315,3798,3048,4163,4470,3354,3364,3385,3346,3824,3800,3544,4172,4585,3944
La Crosse-Onalaska,7491,2152,9108,2896,2593,1836,2130,1891,1771,2339,2140,1913,2553,2426,1849,2602,2409,1679,1872,1626,1716,2195,2008,1811,2472,2355,1865,2385,2501,1847,1903,2109,1928,2465,2268,2067,2576,2706,2131,3220,3290,2476,2702,2395,2427,3026,2807,2681,3210,3609,2881
Madison,35326,9087,43471,11852,10838,8507,8707,8746,8333,10205,9779,8630,11248,9448,7656,9840,9325,7828,7528,7681,8164,9582,9046,8082,11075,9348,7580,9004,9685,8218,7640,9225,8680,9978,9536,8538,10536,10184,8348,11702,12879,10492,10182,9969,10490,11730,10848,11140,12975,13909,11543
Milwaukee-Waukesha-West Allis,104402,26251,118344,32963,31124,26386,25558,27634,25630,32210,31561,23941,31965,26507,22055,27685,26180,23878,21655,24943,24447,30819,30166,23451,32350,26345,22490,25037,26867,24980,22691,28992,26406,32559,33244,25554,32488,30252,26106,34270,37218,33201,31795,33461,32991,39888,39076,34668,41161,41828,37785
Oshkosh-Neenah,9676,2442,13021,3188,2886,2436,2543,2530,2379,3010,3002,2341,3072,2513,2139,2625,2431,2152,2115,2184,2260,2860,2812,2269,3179,2570,2226,2487,2636,2373,2226,2670,2506,3085,3029,2484,3187,2915,2449,3302,3599,3093,3010,2938,3009,3610,3433,3298,3896,3984,3578
Racine,12458,4018,15691,4966,4867,3634,3663,3709,3498,4443,4327,3112,4125,3929,3106,4026,3959,3077,3011,3302,3137,4114,4012,3128,4159,3774,3192,3665,4014,3337,3162,3872,3464,4364,4762,3422,4236,4431,3702,4949,5407,4360,4320,4421,4292,5630,5319,4638,5528,6031,5314
Sheboygan,7873,1692,9340,2101,1945,1598,1609,1533,1494,1819,1744,1448,1945,1620,1307,1654,1566,1403,1324,1368,1410,1716,1641,1451,1969,1642,1382,1575,1696,1483,1416,1688,1582,1861,1791,1555,1955,1832,1566,2101,2293,2002,1927,1885,1950,2214,2086,2065,2421,2519,2217
Wausau,6659,2024,8856,2659,2405,1818,2013,1845,1778,2292,2148,1780,2333,2124,1745,2178,2100,1631,1668,1655,1708,2149,2072,1774,2361,2219,1863,2026,2213,1832,1797,2042,1870,2320,2357,1868,2374,2446,1907,2720,2942,2349,2425,2259,2301,2774,2559,2546,2961,3347,2864
