date,18-29,20-39,40-49,50-59,60-69,70+
1/1/2010,0.77,2.52,3.50,3.04,1.67,0.61
4/1/2010,0.79,2.51,3.43,2.98,1.63,0.59
7/1/2010,0.83,2.50,3.39,2.94,1.61,0.58
10/1/2010,0.86,2.48,3.32,2.90,1.58,0.57
1/1/2011,0.72,2.36,3.32,3.00,1.71,0.63
4/1/2011,0.74,2.37,3.32,2.98,1.68,0.62
7/1/2011,0.78,2.37,3.29,2.95,1.65,0.61
10/1/2011,0.81,2.38,3.23,2.90,1.61,0.60
1/1/2012,0.66,2.24,3.16,2.92,1.73,0.68
4/1/2012,0.70,2.26,3.14,2.90,1.70,0.67
7/1/2012,0.74,2.26,3.11,2.85,1.69,0.65
10/1/2012,0.78,2.29,3.12,2.84,1.67,0.64
1/1/2013,0.66,2.17,3.04,2.87,1.76,0.72
4/1/2013,0.69,2.18,3.00,2.83,1.73,0.71
7/1/2013,0.76,2.23,3.03,2.84,1.71,0.70
10/1/2013,0.82,2.31,3.09,2.87,1.72,0.69
1/1/2014,0.71,2.25,3.07,2.97,1.86,0.78
4/1/2014,0.75,2.27,3.07,2.94,1.83,0.76
7/1/2014,0.79,2.33,3.09,2.93,1.81,0.75
10/1/2014,0.85,2.37,3.11,2.94,1.81,0.74
1/1/2015,0.73,2.29,3.06,2.99,1.95,0.83
4/1/2015,0.76,2.31,3.06,2.97,1.92,0.81
7/1/2015,0.83,2.39,3.11,2.99,1.91,0.80
10/1/2015,0.88,2.45,3.11,2.97,1.88,0.78
1/1/2016,0.76,2.39,3.12,3.05,1.99,0.90
4/1/2016,0.80,2.42,3.14,3.04,1.97,0.89
7/1/2016,0.86,2.48,3.15,3.03,1.94,0.88
10/1/2016,0.93,2.57,3.22,3.03,1.95,0.87
1/1/2017,0.81,2.53,3.22,3.12,2.04,1.01
4/1/2017,0.86,2.58,3.24,3.12,2.02,1.00
7/1/2017,0.92,2.66,3.28,3.12,2.00,0.97
10/1/2017,0.99,2.75,3.31,3.13,1.99,0.96
1/1/2018,0.85,2.65,3.35,3.18,2.10,1.09
4/1/2018,0.89,2.71,3.37,3.17,2.08,1.07
7/1/2018,0.96,2.81,3.41,3.19,2.08,1.05
10/1/2018,1.01,2.86,3.43,3.16,2.05,1.04
1/1/2019,0.86,2.80,3.43,3.23,2.17,1.17
4/1/2019,0.92,2.88,3.49,3.25,2.16,1.16
7/1/2019,0.97,2.93,3.51,3.26,2.14,1.15
10/1/2019,1.04,3.00,3.56,3.26,2.14,1.13
1/1/2020,0.90,2.93,3.58,3.37,2.24,1.27
4/1/2020,0.94,2.97,3.57,3.34,2.20,1.24
