state,initial claims,continued claims,week,code
Alabama,"16,309","58,766",1986-12-27,AL
Alabama,"21,203","69,428",1987-01-03,AL
Alabama,"17,409","65,076",1987-01-10,AL
Alabama,"8,839","48,737",1987-01-17,AL
Alabama,"7,272","47,427",1987-01-24,AL
Alabama,"7,272","47,427",1987-01-31,AL
Alabama,"8,633","48,711",1987-02-07,AL
Alabama,"6,499","45,558",1987-02-14,AL
Alabama,"6,354","45,995",1987-02-21,AL
Alabama,"5,563","43,930",1987-02-28,AL
Alabama,"6,207","42,686",1987-03-07,AL
Alabama,"10,978","47,323",1987-03-14,AL
Alabama,"6,305","39,823",1987-03-21,AL
Alabama,"5,315","39,601",1987-03-28,AL
Alabama,"7,472","38,924",1987-04-04,AL
Alabama,"5,597","37,477",1987-04-11,AL
Alabama,"6,215","38,201",1987-04-18,AL
Alabama,"5,186","35,882",1987-04-25,AL
Alabama,"5,749","35,737",1987-05-02,AL
Alabama,"6,056","35,777",1987-05-09,AL
Alabama,"6,582","35,606",1987-05-16,AL
Alabama,"4,705","31,813",1987-05-23,AL
Alabama,"5,479","34,278",1987-05-30,AL
Alabama,"5,022","35,211",1987-06-06,AL
Alabama,"4,949","34,526",1987-06-13,AL
Alabama,"4,844","43,129",1987-06-20,AL
Alabama,"5,205","32,395",1987-06-27,AL
Alabama,"10,696","36,676",1987-07-04,AL
Alabama,"12,676","41,480",1987-07-11,AL
Alabama,"8,620","38,351",1987-07-18,AL
Alabama,"5,806","35,536",1987-07-25,AL
Alabama,"5,580","34,930",1987-08-01,AL
Alabama,"5,257","34,672",1987-08-08,AL
Alabama,"4,515","32,931",1987-08-15,AL
Alabama,"4,194","32,376",1987-08-22,AL
Alabama,"4,791","31,365",1987-08-29,AL
Alabama,"3,650","29,233",1987-09-05,AL
Alabama,"3,899","29,782",1987-09-12,AL
Alabama,"3,614","29,678",1987-09-19,AL
Alabama,"4,121","28,271",1987-09-26,AL
Alabama,"5,289","28,309",1987-10-03,AL
Alabama,"3,905","27,439",1987-10-10,AL
Alabama,"4,430","28,858",1987-10-17,AL
Alabama,"4,419","28,177",1987-10-24,AL
Alabama,"4,873","27,735",1987-10-31,AL
Alabama,"5,072","27,226",1987-11-07,AL
Alabama,"5,834","28,844",1987-11-14,AL
Alabama,"4,453","27,321",1987-11-21,AL
Alabama,"6,388","31,796",1987-11-28,AL
Alabama,"6,912","31,454",1987-12-05,AL
Alabama,"5,817","31,386",1987-12-12,AL
Alabama,"6,967","31,265",1987-12-19,AL
Alabama,"8,805","37,120",1987-12-26,AL
Alabama,"17,120","42,668",1988-01-02,AL
Alabama,"19,628","53,044",1988-01-09,AL
Alabama,"12,624","45,846",1988-01-16,AL
Alabama,"9,331","42,200",1988-01-23,AL
Alabama,"6,557","36,971",1988-01-30,AL
Alabama,"6,302","37,344",1988-02-06,AL
Alabama,"5,380","35,004",1988-02-13,AL
Alabama,"6,294","36,586",1988-02-20,AL
Alabama,"5,340","34,089",1988-02-27,AL
Alabama,"5,427","33,742",1988-03-05,AL
Alabama,"4,326","32,113",1988-03-12,AL
Alabama,"7,449","34,281",1988-03-19,AL
Alabama,"4,586","29,720",1988-03-26,AL
Alabama,"6,373","29,859",1988-04-02,AL
Alabama,"4,959","29,870",1988-04-09,AL
Alabama,"5,479","29,680",1988-04-16,AL
Alabama,"4,342","27,875",1988-04-23,AL
Alabama,"5,457","27,997",1988-04-30,AL
Alabama,"5,082","27,017",1988-05-07,AL
Alabama,"4,795","26,843",1988-05-14,AL
Alabama,"4,370","25,991",1988-05-21,AL
Alabama,"6,755","27,431",1988-05-28,AL
Alabama,"4,314","26,227",1988-06-04,AL
Alabama,"4,767","26,630",1988-06-11,AL
Alabama,"4,619","26,323",1988-06-18,AL
Alabama,"4,759","27,220",1988-06-25,AL
Alabama,"8,531","27,923",1988-07-02,AL
Alabama,"15,639","37,846",1988-07-09,AL
Alabama,"10,663","33,805",1988-07-16,AL
Alabama,"6,802","30,820",1988-07-23,AL
Alabama,"8,742","32,236",1988-07-30,AL
Alabama,"6,141","29,283",1988-08-06,AL
Alabama,"6,755","30,261",1988-08-13,AL
Alabama,"5,126","29,140",1988-08-20,AL
Alabama,"5,758","28,917",1988-08-27,AL
Alabama,"5,685","28,325",1988-09-03,AL
Alabama,"5,467","28,812",1988-09-10,AL
Alabama,"4,352","27,177",1988-09-17,AL
Alabama,"4,466","26,660",1988-09-24,AL
Alabama,"6,588","27,053",1988-10-01,AL
Alabama,"5,483","26,676",1988-10-08,AL
Alabama,"5,220","27,277",1988-10-15,AL
Alabama,"6,170","28,418",1988-10-22,AL
Alabama,"5,064","27,296",1988-10-29,AL
Alabama,"4,363","25,784",1988-11-05,AL
Alabama,"6,855","30,467",1988-11-12,AL
Alabama,"4,864","28,493",1988-11-19,AL
Alabama,"8,321","32,207",1988-11-26,AL
Alabama,"5,408","32,209",1988-12-03,AL
Alabama,"5,334","31,294",1988-12-10,AL
Alabama,"5,724","32,890",1988-12-17,AL
Alabama,"8,315","35,682",1988-12-24,AL
Alabama,"16,343","41,329",1988-12-31,AL
Alabama,"22,189","52,999",1989-01-07,AL
Alabama,"10,109","43,436",1989-01-14,AL
Alabama,"8,163","41,468",1989-01-21,AL
Alabama,"6,202","35,257",1989-01-28,AL
Alabama,"5,568","35,858",1989-02-04,AL
Alabama,"6,681","38,667",1989-02-11,AL
Alabama,"5,200","35,467",1989-02-18,AL
Alabama,"6,218","36,985",1989-02-25,AL
Alabama,"5,436","36,372",1989-03-04,AL
Alabama,"5,301","35,427",1989-03-11,AL
Alabama,"6,037","35,187",1989-03-18,AL
Alabama,"4,400","32,489",1989-03-25,AL
Alabama,"5,578","31,243",1989-04-01,AL
Alabama,"4,393","30,643",1989-04-08,AL
Alabama,"5,674","31,257",1989-04-15,AL
Alabama,"4,183","29,563",1989-04-22,AL
Alabama,"5,098","29,232",1989-04-29,AL
Alabama,"5,923","30,005",1989-05-06,AL
Alabama,"4,749","27,447",1989-05-13,AL
Alabama,"5,010","27,632",1989-05-20,AL
Alabama,"4,756","26,943",1989-05-27,AL
Alabama,"4,641","28,062",1989-06-03,AL
Alabama,"6,959","30,800",1989-06-10,AL
Alabama,"5,632","30,690",1989-06-17,AL
Alabama,"5,838","31,285",1989-06-24,AL
Alabama,"7,681","29,079",1989-07-01,AL
Alabama,"16,979","41,134",1989-07-08,AL
Alabama,"12,996","40,107",1989-07-15,AL
Alabama,"7,751","33,311",1989-07-22,AL
Alabama,"7,321","30,581",1989-07-29,AL
Alabama,"7,442","33,680",1989-08-05,AL
Alabama,"4,625","30,820",1989-08-12,AL
Alabama,"3,880","28,844",1989-08-19,AL
Alabama,"5,034","28,814",1989-08-26,AL
Alabama,"4,437","26,870",1989-09-02,AL
Alabama,"4,460","28,238",1989-09-09,AL
Alabama,"5,279","27,962",1989-09-16,AL
Alabama,"4,735","26,419",1989-09-23,AL
Alabama,"5,359","26,525",1989-09-30,AL
Alabama,"5,208","27,004",1989-10-07,AL
Alabama,"4,990","28,062",1989-10-14,AL
Alabama,"5,562","28,327",1989-10-21,AL
Alabama,"5,119","24,205",1989-10-28,AL
Alabama,"4,842","26,533",1989-11-04,AL
Alabama,"7,117","30,335",1989-11-11,AL
Alabama,"4,274","25,991",1989-11-18,AL
Alabama,"9,193","35,049",1989-11-25,AL
Alabama,"7,982","32,921",1989-12-02,AL
Alabama,"5,915","31,389",1989-12-09,AL
Alabama,"8,343","33,394",1989-12-16,AL
Alabama,"11,758","39,821",1989-12-23,AL
Alabama,"14,782","44,759",1989-12-30,AL
Alabama,"21,868","54,039",1990-01-06,AL
Alabama,"14,723","47,569",1990-01-13,AL
Alabama,"9,275","42,930",1990-01-20,AL
Alabama,"7,089","39,162",1990-01-27,AL
Alabama,"9,078","41,076",1990-02-03,AL
Alabama,"7,579","40,159",1990-02-10,AL
Alabama,"7,930","39,157",1990-02-17,AL
Alabama,"7,196","41,378",1990-02-24,AL
Alabama,"6,087","37,161",1990-03-03,AL
Alabama,"4,760","34,558",1990-03-10,AL
Alabama,"12,575","40,670",1990-03-17,AL
Alabama,"7,613","35,735",1990-03-24,AL
Alabama,"6,542","33,754",1990-03-31,AL
Alabama,"5,674","32,881",1990-04-07,AL
Alabama,"15,414","33,200",1990-04-14,AL
Alabama,"5,063","31,873",1990-04-21,AL
Alabama,"6,932","32,049",1990-04-28,AL
Alabama,"6,522","33,184",1990-05-05,AL
Alabama,"4,916","30,225",1990-05-12,AL
Alabama,"5,138","30,105",1990-05-19,AL
Alabama,"6,468","29,558",1990-05-26,AL
Alabama,"5,190","29,505",1990-06-02,AL
Alabama,"4,869","29,464",1990-06-09,AL
Alabama,"5,384","30,934",1990-06-16,AL
Alabama,"4,526","29,434",1990-06-23,AL
Alabama,"7,358","29,080",1990-06-30,AL
Alabama,"15,279","40,802",1990-07-07,AL
Alabama,"12,924","40,022",1990-07-14,AL
Alabama,"9,141","36,130",1990-07-21,AL
Alabama,"8,406","33,954",1990-07-28,AL
Alabama,"6,965","33,600",1990-08-04,AL
Alabama,"5,555","33,825",1990-08-11,AL
Alabama,"6,213","32,992",1990-08-18,AL
Alabama,"5,894","31,168",1990-08-25,AL
Alabama,"7,258","31,656",1990-09-01,AL
Alabama,"5,593","31,250",1990-09-08,AL
Alabama,"5,184","30,526",1990-09-15,AL
Alabama,"5,078","29,589",1990-09-22,AL
Alabama,"6,238","29,841",1990-09-29,AL
Alabama,"6,916","29,239",1990-10-06,AL
Alabama,"5,519","30,214",1990-10-13,AL
Alabama,"6,963","31,475",1990-10-20,AL
Alabama,"8,978","34,830",1990-10-27,AL
Alabama,"7,463","34,257",1990-11-03,AL
Alabama,"6,424","32,956",1990-11-10,AL
Alabama,"5,054","31,296",1990-11-17,AL
Alabama,"13,544","43,360",1990-11-24,AL
Alabama,"12,549","42,036",1990-12-01,AL
Alabama,"8,079","39,619",1990-12-08,AL
Alabama,"9,238","40,131",1990-12-15,AL
Alabama,"12,745","43,339",1990-12-22,AL
Alabama,"18,288","51,226",1990-12-29,AL
Alabama,"24,282","70,842",1991-01-05,AL
Alabama,"21,353","60,913",1991-01-12,AL
Alabama,"12,607","53,371",1991-01-19,AL
Alabama,"10,777","49,386",1991-01-26,AL
Alabama,"10,881","50,889",1991-02-02,AL
Alabama,"7,714","48,367",1991-02-09,AL
Alabama,"7,891","47,691",1991-02-16,AL
Alabama,"10,006","51,351",1991-02-23,AL
Alabama,"7,553","48,319",1991-03-02,AL
Alabama,"7,206","47,371",1991-03-09,AL
Alabama,"6,724","45,614",1991-03-16,AL
Alabama,"6,755","43,908",1991-03-23,AL
Alabama,"11,204","48,266",1991-03-30,AL
Alabama,"8,003","42,668",1991-04-06,AL
Alabama,"7,578","43,058",1991-04-13,AL
Alabama,"5,715","40,569",1991-04-20,AL
Alabama,"6,355","40,492",1991-04-27,AL
Alabama,"7,094","40,636",1991-05-04,AL
Alabama,"6,458","38,909",1991-05-11,AL
Alabama,"6,001","38,841",1991-05-18,AL
Alabama,"6,128","36,876",1991-05-25,AL
