State,Year,Month,Civilian non-institutional population,Civilian labor force,Employed,Unemployed
Alabama,1976,1,"2,605,000","1,492,409","1,392,154","100,255"
Alaska,1976,1,"232,000","159,154","147,809","11,345"
Arizona,1976,1,"1,621,000","972,413","872,738","99,675"
Arkansas,1976,1,"1,536,000","882,835","817,756","65,079"
California,1976,1,"15,621,000","9,781,720","8,892,663","889,057"
Los Angeles County,1976,1,"5,273,000","3,375,681","3,078,200","297,481"
Colorado,1976,1,"1,832,000","1,232,334","1,164,563","67,771"
Connecticut,1976,1,"2,248,000","1,443,606","1,302,422","141,184"
Delaware,1976,1,"417,000","262,688","242,382","20,306"
District of Columbia,1976,1,"520,000","339,378","308,820","30,558"
Florida,1976,1,"6,421,000","3,592,149","3,248,523","343,626"
Georgia,1976,1,"3,522,000","2,250,451","2,061,744","188,707"
Hawaii,1976,1,"583,000","408,869","367,414","41,455"
Idaho,1976,1,"580,000","366,173","346,216","19,957"
Illinois,1976,1,"8,127,000","5,133,491","4,788,469","345,022"
Indiana,1976,1,"3,789,000","2,418,961","2,260,951","158,010"
Iowa,1976,1,"2,066,000","1,324,627","1,269,103","55,524"
Kansas,1976,1,"1,635,000","1,061,055","1,015,585","45,470"
Kentucky,1976,1,"2,459,000","1,489,641","1,406,646","82,995"
Louisiana,1976,1,"2,672,000","1,513,827","1,417,816","96,011"
Maine,1976,1,"764,000","475,639","433,990","41,649"
Maryland,1976,1,"2,954,000","1,905,561","1,781,850","123,711"
Massachusetts,1976,1,"4,194,000","2,715,161","2,435,124","280,037"
Michigan,1976,1,"6,417,000","3,959,251","3,568,988","390,263"
Minnesota,1976,1,"2,788,000","1,832,797","1,722,777","110,020"
Mississippi,1976,1,"1,640,000","961,115","896,774","64,341"
Missouri,1976,1,"3,464,000","2,088,814","1,963,951","124,863"
Montana,1976,1,"531,000","327,276","308,066","19,210"
Nebraska,1976,1,"1,095,000","715,752","692,137","23,615"
Nevada,1976,1,"451,000","322,417","293,574","28,843"
New Hampshire,1976,1,"593,000","391,585","364,963","26,622"
New Jersey,1976,1,"5,358,000","3,281,099","2,944,762","336,337"
New Mexico,1976,1,"792,000","475,004","432,875","42,129"
New York,1976,1,"13,196,000","7,687,165","6,896,554","790,611"
New York city,1976,1,"5,694,000","3,114,007","2,768,623","345,384"
North Carolina,1976,1,"3,898,000","2,596,329","2,428,430","167,899"
North Dakota,1976,1,"442,000","275,609","266,394","9,215"
Ohio,1976,1,"7,701,000","4,756,109","4,371,860","384,249"
Oklahoma,1976,1,"1,999,000","1,180,825","1,110,620","70,205"
Oregon,1976,1,"1,716,000","1,074,151","969,974","104,177"
Pennsylvania,1976,1,"8,774,000","5,105,548","4,693,332","412,216"
Rhode Island,1976,1,"691,000","434,960","399,599","35,361"
South Carolina,1976,1,"1,984,000","1,292,816","1,195,062","97,754"
South Dakota,1976,1,"477,000","308,735","298,900","9,835"
Tennessee,1976,1,"3,078,000","1,819,844","1,710,143","109,701"
Texas,1976,1,"8,818,000","5,627,987","5,298,778","329,209"
Utah,1976,1,"824,000","519,498","489,265","30,233"
Vermont,1976,1,"339,000","213,667","195,099","18,568"
Virginia,1976,1,"3,534,000","2,328,545","2,190,847","137,698"
Washington,1976,1,"2,598,000","1,584,688","1,446,319","138,369"
West Virginia,1976,1,"1,352,000","702,600","647,491","55,109"
Wisconsin,1976,1,"3,245,000","2,125,315","2,003,102","122,213"
Wyoming,1976,1,"270,000","175,876","168,592","7,284"
Alabama,1976,2,"2,610,000","1,491,820","1,391,975","99,845"
Alaska,1976,2,"234,000","158,961","147,666","11,295"
Arizona,1976,2,"1,626,000","971,753","871,997","99,756"
Arkansas,1976,2,"1,538,000","882,316","817,132","65,184"
California,1976,2,"15,657,000","9,775,948","8,888,464","887,484"
Los Angeles County,1976,2,"5,283,000","3,374,478","3,077,504","296,974"
Colorado,1976,2,"1,837,000","1,232,109","1,164,631","67,478"
Connecticut,1976,2,"2,251,000","1,442,758","1,301,572","141,186"
Delaware,1976,2,"418,000","262,592","242,420","20,172"
District of Columbia,1976,2,"519,000","339,539","308,976","30,563"
Florida,1976,2,"6,437,000","3,591,389","3,247,280","344,109"
Georgia,1976,2,"3,528,000","2,249,410","2,060,612","188,798"
Hawaii,1976,2,"585,000","408,905","367,268","41,637"
Idaho,1976,2,"582,000","365,886","345,965","19,921"
Illinois,1976,2,"8,136,000","5,132,066","4,787,725","344,341"
Indiana,1976,2,"3,793,000","2,418,034","2,259,666","158,368"
Iowa,1976,2,"2,069,000","1,324,134","1,268,472","55,662"
Kansas,1976,2,"1,637,000","1,060,584","1,015,127","45,457"
Kentucky,1976,2,"2,465,000","1,489,199","1,406,247","82,952"
Louisiana,1976,2,"2,678,000","1,513,026","1,417,468","95,558"
Maine,1976,2,"766,000","475,595","433,930","41,665"
Maryland,1976,2,"2,958,000","1,904,839","1,781,465","123,374"
Massachusetts,1976,2,"4,198,000","2,714,974","2,434,220","280,754"
Michigan,1976,2,"6,424,000","3,957,748","3,566,516","391,232"
Minnesota,1976,2,"2,793,000","1,832,001","1,722,014","109,987"
Mississippi,1976,2,"1,644,000","960,686","896,491","64,195"
Missouri,1976,2,"3,469,000","2,087,305","1,962,686","124,619"
Montana,1976,2,"532,000","327,202","308,039","19,163"
Nebraska,1976,2,"1,096,000","715,577","691,996","23,581"
Nevada,1976,2,"454,000","322,146","293,280","28,866"
New Hampshire,1976,2,"595,000","391,323","364,669","26,654"
New Jersey,1976,2,"5,363,000","3,280,097","2,944,167","335,930"
New Mexico,1976,2,"795,000","474,831","432,640","42,191"
New York,1976,2,"13,202,000","7,684,752","6,895,390","789,362"
New York city,1976,2,"5,692,000","3,113,272","2,768,463","344,809"
North Carolina,1976,2,"3,905,000","2,595,355","2,427,272","168,083"
North Dakota,1976,2,"443,000","275,468","266,304","9,164"
Ohio,1976,2,"7,706,000","4,756,607","4,371,539","385,068"
Oklahoma,1976,2,"2,003,000","1,180,479","1,110,306","70,173"
Oregon,1976,2,"1,720,000","1,073,446","969,351","104,095"
Pennsylvania,1976,2,"8,780,000","5,104,850","4,691,940","412,910"
Rhode Island,1976,2,"692,000","434,907","399,553","35,354"
South Carolina,1976,2,"1,988,000","1,292,440","1,194,788","97,652"
South Dakota,1976,2,"478,000","308,727","298,906","9,821"
Tennessee,1976,2,"3,084,000","1,818,088","1,708,651","109,437"
Texas,1976,2,"8,844,000","5,624,823","5,295,497","329,326"
Utah,1976,2,"826,000","519,124","488,892","30,232"
Vermont,1976,2,"340,000","213,554","194,960","18,594"
Virginia,1976,2,"3,543,000","2,327,900","2,190,461","137,439"
Washington,1976,2,"2,604,000","1,583,350","1,445,338","138,012"
West Virginia,1976,2,"1,355,000","702,802","647,556","55,246"
Wisconsin,1976,2,"3,248,000","2,124,456","2,002,200","122,256"
Wyoming,1976,2,"271,000","175,705","168,416","7,289"
Alabama,1976,3,"2,615,000","1,490,600","1,392,137","98,463"
Alaska,1976,3,"236,000","159,067","147,858","11,209"
Arizona,1976,3,"1,631,000","971,967","872,637","99,330"
Arkansas,1976,3,"1,539,000","881,865","816,687","65,178"
California,1976,3,"15,694,000","9,775,283","8,892,402","882,881"
Los Angeles County,1976,3,"5,292,000","3,374,522","3,079,158","295,364"
Colorado,1976,3,"1,841,000","1,231,539","1,164,628","66,911"
Connecticut,1976,3,"2,253,000","1,442,821","1,301,890","140,931"
Delaware,1976,3,"418,000","262,596","242,340","20,256"
District of Columbia,1976,3,"519,000","339,517","309,128","30,389"
Florida,1976,3,"6,452,000","3,591,633","3,249,159","342,474"
Georgia,1976,3,"3,534,000","2,249,490","2,061,445","188,045"
Hawaii,1976,3,"586,000","409,265","367,467","41,798"
Idaho,1976,3,"583,000","366,000","346,021","19,979"
Illinois,1976,3,"8,146,000","5,131,818","4,789,790","342,028"
Indiana,1976,3,"3,797,000","2,418,009","2,260,937","157,072"
Iowa,1976,3,"2,072,000","1,324,428","1,268,901","55,527"
Kansas,1976,3,"1,640,000","1,060,837","1,015,396","45,441"
Kentucky,1976,3,"2,470,000","1,488,878","1,406,193","82,685"
Louisiana,1976,3,"2,685,000","1,513,093","1,417,499","95,594"
Maine,1976,3,"767,000","475,697","434,134","41,563"
Maryland,1976,3,"2,962,000","1,904,177","1,781,135","123,042"
Massachusetts,1976,3,"4,201,000","2,715,650","2,435,324","280,326"
Michigan,1976,3,"6,430,000","3,959,594","3,567,979","391,615"
Minnesota,1976,3,"2,797,000","1,831,869","1,722,985","108,884"
Mississippi,1976,3,"1,647,000","960,931","897,614","63,317"
Missouri,1976,3,"3,473,000","2,087,996","1,963,435","124,561"
Montana,1976,3,"533,000","327,131","308,017","19,114"
Nebraska,1976,3,"1,097,000","715,419","692,073","23,346"
Nevada,1976,3,"456,000","322,327","293,456","28,871"
New Hampshire,1976,3,"596,000","391,413","364,765","26,648"
New Jersey,1976,3,"5,367,000","3,282,199","2,945,972","336,227"
New Mexico,1976,3,"798,000","475,109","432,733","42,376"
New York,1976,3,"13,207,000","7,684,481","6,897,998","786,483"
New York city,1976,3,"5,690,000","3,112,681","2,768,557","344,124"
North Carolina,1976,3,"3,912,000","2,595,712","2,428,876","166,836"
North Dakota,1976,3,"444,000","275,531","266,363","9,168"
Ohio,1976,3,"7,711,000","4,757,822","4,372,663","385,159"
Oklahoma,1976,3,"2,007,000","1,180,456","1,110,496","69,960"
Oregon,1976,3,"1,724,000","1,072,689","969,546","103,143"
Pennsylvania,1976,3,"8,786,000","5,106,719","4,691,831","414,888"
Rhode Island,1976,3,"693,000","435,032","399,726","35,306"
South Carolina,1976,3,"1,992,000","1,291,686","1,195,034","96,652"
South Dakota,1976,3,"478,000","308,704","299,010","9,694"
Tennessee,1976,3,"3,091,000","1,818,191","1,709,613","108,578"
Texas,1976,3,"8,870,000","5,629,458","5,299,209","330,249"
Utah,1976,3,"828,000","519,114","489,008","30,106"
Vermont,1976,3,"341,000","213,610","194,978","18,632"
Virginia,1976,3,"3,551,000","2,328,207","2,191,511","136,696"
Washington,1976,3,"2,611,000","1,582,676","1,445,169","137,507"
West Virginia,1976,3,"1,358,000","702,963","647,481","55,482"
Wisconsin,1976,3,"3,252,000","2,124,610","2,002,973","121,637"
Wyoming,1976,3,"272,000","175,782","168,487","7,295"
Alabama,1976,4,"2,620,000","1,489,947","1,393,177","96,770"
Alaska,1976,4,"237,000","160,192","148,970","11,222"
Arizona,1976,4,"1,636,000","974,938","877,217","97,721"
Arkansas,1976,4,"1,541,000","882,692","818,130","64,562"
California,1976,4,"15,731,000","9,795,836","8,918,330","877,506"
Los Angeles County,1976,4,"5,302,000","3,378,725","3,085,543","293,182"
Colorado,1976,4,"1,846,000","1,231,011","1,164,119","66,892"
Connecticut,1976,4,"2,255,000","1,446,187","1,306,078","140,109"
Delaware,1976,4,"419,000","262,989","241,923","21,066"
District of Columbia,1976,4,"518,000","338,609","308,673","29,936"
Florida,1976,4,"6,468,000","3,594,014","3,258,015","335,999"
Georgia,1976,4,"3,540,000","2,253,611","2,067,967","185,644"
Hawaii,1976,4,"588,000","409,939","368,550","41,389"
Idaho,1976,4,"585,000","367,439","347,164","20,275"
Illinois,1976,4,"8,155,000","5,135,150","4,796,640","338,510"
Indiana,1976,4,"3,801,000","2,421,035","2,269,249","151,786"
Iowa,1976,4,"2,075,000","1,327,210","1,272,547","54,663"
Kansas,1976,4,"1,642,000","1,063,168","1,017,765","45,403"
Kentucky,1976,4,"2,475,000","1,489,497","1,407,354","82,143"
Louisiana,1976,4,"2,692,000","1,516,323","1,418,904","97,419"
Maine,1976,4,"769,000","476,036","434,823","41,213"
Maryland,1976,4,"2,966,000","1,905,507","1,781,610","123,897"
Massachusetts,1976,4,"4,204,000","2,717,527","2,441,683","275,844"
Michigan,1976,4,"6,436,000","3,969,449","3,580,904","388,545"
Minnesota,1976,4,"2,802,000","1,834,864","1,728,543","106,321"
Mississippi,1976,4,"1,650,000","963,165","901,513","61,652"
Missouri,1976,4,"3,477,000","2,095,946","1,970,155","125,791"
Montana,1976,4,"534,000","327,166","308,014","19,152"
Nebraska,1976,4,"1,098,000","715,705","692,831","22,874"
Nevada,1976,4,"458,000","323,929","295,160","28,769"
New Hampshire,1976,4,"598,000","392,657","366,173","26,484"
New Jersey,1976,4,"5,372,000","3,290,889","2,952,460","338,429"
New Mexico,1976,4,"801,000","476,571","433,984","42,587"
New York,1976,4,"13,213,000","7,689,935","6,906,874","783,061"
New York city,1976,4,"5,689,000","3,112,243","2,768,172","344,071"
North Carolina,1976,4,"3,919,000","2,599,283","2,436,634","162,649"
North Dakota,1976,4,"444,000","276,266","266,864","9,402"
Ohio,1976,4,"7,716,000","4,757,433","4,376,405","381,028"
Oklahoma,1976,4,"2,011,000","1,181,507","1,112,144","69,363"
Oregon,1976,4,"1,728,000","1,073,735","972,719","101,016"
Pennsylvania,1976,4,"8,792,000","5,112,956","4,696,196","416,760"
Rhode Island,1976,4,"693,000","435,469","400,273","35,196"
South Carolina,1976,4,"1,996,000","1,291,005","1,196,768","94,237"
South Dakota,1976,4,"479,000","308,718","299,231","9,487"
Tennessee,1976,4,"3,097,000","1,825,620","1,718,077","107,543"
Texas,1976,4,"8,896,000","5,653,373","5,321,425","331,948"
Utah,1976,4,"830,000","520,609","490,860","29,749"
Vermont,1976,4,"341,000","214,211","195,593","18,618"
Virginia,1976,4,"3,559,000","2,330,919","2,195,231","135,688"
Washington,1976,4,"2,617,000","1,586,708","1,448,989","137,719"
West Virginia,1976,4,"1,360,000","702,202","646,833","55,369"
Wisconsin,1976,4,"3,256,000","2,128,063","2,008,413","119,650"
Wyoming,1976,4,"273,000","176,667","169,387","7,280"
Alabama,1976,5,"2,626,000","1,490,609","1,394,591","96,018"
Alaska,1976,5,"239,000","161,814","150,449","11,365"
Arizona,1976,5,"1,642,000","979,281","883,408","95,873"
Arkansas,1976,5,"1,542,000","884,656","821,026","63,630"
California,1976,5,"15,768,000","9,828,900","8,953,226","875,674"
Los Angeles County,1976,5,"5,311,000","3,385,461","3,093,326","292,135"
Colorado,1976,5,"1,850,000","1,231,050","1,163,412","67,638"
Connecticut,1976,5,"2,257,000","1,451,468","1,312,227","139,241"
Delaware,1976,5,"420,000","263,585","241,399","22,186"
District of Columbia,1976,5,"518,000","337,253","307,776","29,477"
Florida,1976,5,"6,483,000","3,597,871","3,269,479","328,392"
Georgia,1976,5,"3,547,000","2,259,949","2,077,016","182,933"
Hawaii,1976,5,"590,000","410,495","369,908","40,587"
Idaho,1976,5,"587,000","369,500","348,876","20,624"
Illinois,1976,5,"8,164,000","5,141,327","4,804,591","336,736"
Indiana,1976,5,"3,806,000","2,426,290","2,280,665","145,625"
Iowa,1976,5,"2,078,000","1,331,126","1,277,629","53,497"
Kansas,1976,5,"1,644,000","1,066,459","1,021,136","45,323"
Kentucky,1976,5,"2,480,000","1,490,936","1,409,389","81,547"
Louisiana,1976,5,"2,699,000","1,521,492","1,421,200","100,292"
Maine,1976,5,"771,000","476,408","435,607","40,801"
Maryland,1976,5,"2,971,000","1,908,475","1,783,003","125,472"
Massachusetts,1976,5,"4,207,000","2,719,627","2,450,016","269,611"
Michigan,1976,5,"6,442,000","3,982,406","3,599,367","383,039"
Minnesota,1976,5,"2,806,000","1,839,691","1,735,701","103,990"
Mississippi,1976,5,"1,653,000","966,295","905,971","60,324"
Missouri,1976,5,"3,481,000","2,107,426","1,979,762","127,664"
Montana,1976,5,"535,000","327,296","308,035","19,261"
Nebraska,1976,5,"1,100,000","716,356","693,887","22,469"
Nevada,1976,5,"460,000","326,152","297,525","28,627"
New Hampshire,1976,5,"599,000","394,491","368,258","26,233"
New Jersey,1976,5,"5,376,000","3,301,261","2,960,089","341,172"
